fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-12 06:33:17.420736,A,confluence_high,148.4800,short,147.0557,97.434143,93.942254,99.400120,3.807143,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,BAC,confluence_high,64.0600,short,63.7973,83.453355,82.597126,95.744681,0.979286,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,CVS,confluence_low,93.8999,long,96.0748,13.756306,18.838606,12.630966,3.049286,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,ETN,confluence_high,473.3685,short,461.4998,89.459776,91.032586,87.134972,19.192143,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,EW,confluence_high,92.6350,short,92.0166,87.626253,85.664049,93.304721,2.575714,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,HPE,confluence_high,55.4950,short,54.6788,84.864048,85.365468,86.454456,3.098357,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,JBL,confluence_high,368.4200,short,348.8031,83.558524,86.462562,77.167147,16.576429,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,KEYS,confluence_high,352.0000,short,345.7595,86.290205,87.232214,81.392184,13.236786,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,MNST,confluence_low,45.2150,long,46.1525,1.278037,3.380238,1.769344,5.381636,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,MO,confluence_low,64.6050,long,65.2651,8.322432,11.267682,1.115880,2.232143,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,NTAP,confluence_high,201.8950,short,197.4057,86.557254,84.006396,90.876381,7.728571,15.4600,-0.000584,{}
2026-08-12 06:33:17.420736,WAT,confluence_high,411.6400,short,409.1833,96.840300,95.535201,97.002673,13.407143,15.4600,-0.000584,{}
2026-08-12 06:39:10.88268,FDX,confluence_high,325.2300,short,322.8369,81.362068,66.087989,95.419188,6.720000,15.4600,-0.000584,{}
2026-08-12 06:39:10.88268,PANW,confluence_high,383.9650,short,382.3959,85.035016,82.099481,99.830354,14.856429,15.4600,-0.000584,{}
2026-08-12 06:44:11.409399,WBD,confluence_high,27.5600,short,27.4948,83.086598,63.763499,83.937824,0.552143,15.4600,-0.000584,{}
2026-08-12 07:09:14.250286,CRWD,confluence_high,224.5000,short,224.0855,86.447685,83.317730,96.702047,9.107429,15.4600,-0.000584,{}
2026-08-12 07:24:16.105621,NTRS,confluence_high,190.3900,short,190.2268,87.744484,77.771107,94.247788,4.111429,15.4600,-0.000584,{}
2026-08-12 07:49:18.742247,TPL,confluence_low,348.6000,long,349.3198,6.875637,9.348711,10.518183,18.485000,15.4600,-0.000584,{}
2026-08-12 08:39:24.155926,AMGN,confluence_high,417.0400,short,416.8684,87.497888,83.867545,97.972631,12.925000,15.4600,-0.000584,{}
2026-08-12 09:04:26.768156,TGT,confluence_high,153.0800,short,153.0480,91.520963,88.897399,93.740973,4.104286,15.4600,-0.000584,{}
