ticker	bars	first	last
AA	4147	2010-01-04	2026-06-30
ACE	0		
AET	2244	2010-01-04	2018-11-29
AGN	0		
AIV	4147	2010-01-04	2026-06-30
ALTR	0		
AN	4147	2010-01-04	2026-06-30
ANDV	2201	2010-01-04	2018-10-01
ANF	4147	2010-01-04	2026-06-30
APC	95	2026-02-12	2026-06-30
APOL	0		
ATI	4147	2010-01-04	2026-06-30
AVP	0		
BBBY	4147	2010-01-04	2026-06-30
BBWI	4147	2010-01-04	2026-06-30
BCR	0		
BEAM	1607	2020-02-06	2026-06-30
BHI	0		
BIG	0		
BJS	0		
BMC	2439	2012-06-18	2022-03-02
BRCM	0		
BTU	2323	2017-04-03	2026-06-30
CA	0		
CAG	4147	2010-01-04	2026-06-30
CAM	184	2025-10-06	2026-06-30
CCE	138	2019-02-27	2020-04-29
CELG	0		
CEPH	0		
CFN	0		
CHK	0		
CMA	0		
CNX	4147	2010-01-04	2026-06-30
COL	2055	2012-08-02	2020-11-30
CPB	4147	2010-01-04	2026-06-30
CPRI	3654	2011-12-15	2026-06-30
CSC	0		
CTRA	0		
CTXS	0		
CVH	0		
DF	0		
DISCA	0		
DNB	0		
DNR	0		
DO	0		
DPS	0		
DTV	0		
DV	1304	2021-04-21	2026-06-30
EK	0		
EMC	784	2023-05-15	2026-06-30
EMN	4147	2010-01-04	2026-06-30
EP	4147	2010-01-04	2026-06-30
ETFC	0		
FDO	0		
FHN	4147	2010-01-04	2026-06-30
FII	0		
FLIR	0		
FLR	4147	2010-01-04	2026-06-30
FLS	4147	2010-01-04	2026-06-30
FRX	0		
FTR	0		
GENZ	4147	2010-01-04	2026-06-30
GHC	4147	2010-01-04	2026-06-30
GNW	4147	2010-01-04	2026-06-30
GPS	0		
GR	1950	2010-01-04	2018-02-22
GT	4147	2010-01-04	2026-06-30
HAR	2285	2013-01-17	2022-03-02
HCBK	0		
HES	0		
HNZ	0		
HOG	4147	2010-01-04	2026-06-30
HOT	502	2015-01-02	2017-03-20
HRB	4147	2010-01-04	2026-06-30
HSP	0		
IGT	0		
IPG	0		
ITT	4147	2010-01-04	2026-06-30
JCP	0		
JEF	4147	2010-01-04	2026-06-30
JNS	0		
JOY	0		
JWN	0		
K	0		
KG	4147	2010-01-04	2026-06-30
KSS	4147	2010-01-04	2026-06-30
LEG	4147	2010-01-04	2026-06-30
LIFE	105	2026-01-29	2026-06-30
LLL	0		
LLTC	0		
LM	0		
LNC	4147	2010-01-04	2026-06-30
LSI	0		
LUMN	4147	2010-01-04	2026-06-30
LXK	0		
M	4147	2010-01-04	2026-06-30
MAT	4147	2010-01-04	2026-06-30
MDP	0		
MFE	0		
MHS	1525	2020-02-12	2026-06-30
MI	2662	2015-11-25	2026-06-30
MIL	0		
MOLX	991	2010-01-04	2013-12-09
MON	0		
MRO	0		
MUR	4147	2010-01-04	2026-06-30
MWW	0		
NBL	0		
NBR	4147	2010-01-04	2026-06-30
NE	1270	2021-06-09	2026-06-30
NOV	4147	2010-01-04	2026-06-30
NOVL	0		
NSM	1610	2012-03-08	2018-07-31
NVLS	0		
NWL	4147	2010-01-04	2026-06-30
NYT	4147	2010-01-04	2026-06-30
NYX	0		
ODP	0		
PBCT	0		
PBI	4147	2010-01-04	2026-06-30
PCL	227	2025-08-05	2026-06-30
PCP	0		
PDCO	0		
PGN	0		
PLL	0		
POM	182	2025-10-08	2026-06-30
PTV	1602	2010-12-31	2017-05-31
PXD	0		
R	4147	2010-01-04	2026-06-30
RAI	0		
RDC	0		
RHI	4147	2010-01-04	2026-06-30
RHT	0		
RRD	0		
RSH	1180	2010-01-05	2017-10-05
RTN	0		
RX	53	2011-08-30	2018-02-22
S	1255	2021-06-30	2026-06-30
SCG	872	2015-07-16	2018-12-31
SE	2183	2017-10-20	2026-06-30
SEE	0		
SHLD	700	2023-09-14	2026-06-30
SIAL	0		
SII	4114	2010-02-22	2026-06-30
SLE	1846	2019-02-26	2026-06-30
SLM	4147	2010-01-04	2026-06-30
SNI	0		
SPLS	113	2026-01-16	2026-06-30
SRCL	0		
STI	1044	2022-05-02	2026-06-30
STJ	0		
STR	0		
SUN	3462	2012-09-20	2026-06-30
SVU	2216	2010-01-04	2018-10-22
SWN	0		
SWY	0		
TE	1625	2020-01-10	2026-06-30
TEG	1551	2015-12-22	2022-03-02
TGNA	0		
THC	4147	2010-01-04	2026-06-30
TIE	2339	2010-01-04	2019-07-12
TIF	0		
TLAB	987	2010-01-04	2013-12-03
TSS	0		
TWC	0		
TWX	2127	2010-01-04	2018-06-15
UAA	4147	2010-01-04	2026-06-30
UNM	4147	2010-01-04	2026-06-30
URBN	4147	2010-01-04	2026-06-30
VAR	0		
VFC	4147	2010-01-04	2026-06-30
VIAB	0		
VNO	4147	2010-01-04	2026-06-30
WBA	0		
WFM	0		
WFR	0		
WHR	4147	2010-01-04	2026-06-30
WIN	0		
WU	4147	2010-01-04	2026-06-30
WYN	0		
X	0		
XL	0		
XLNX	0		
XRAY	4147	2010-01-04	2026-06-30
XRX	4147	2010-01-04	2026-06-30
XTO	0		
ZION	4147	2010-01-04	2026-06-30
