bucket	ticker	bars	first	last	longName	quoteType	exchange
INGEST	AA	4147	2010-01-04	2026-06-30	Alcoa Corporation	EQUITY	NYSE
INGEST	AET	2244	2010-01-04	2018-11-29	Aetna Inc.	MUTUALFUND	YHD
INGEST	AIV	4147	2010-01-04	2026-06-30	Apartment Investment and Management Company	EQUITY	NYSE
INGEST	AN	4147	2010-01-04	2026-06-30	AutoNation, Inc.	EQUITY	NYSE
INGEST	ANDV	2201	2010-01-04	2018-10-01	Andeavor	MUTUALFUND	YHD
INGEST	ANF	4147	2010-01-04	2026-06-30	Abercrombie & Fitch Co.	EQUITY	NYSE
INGEST	ATI	4147	2010-01-04	2026-06-30	ATI Inc.	EQUITY	NYSE
INGEST	BBBY	4147	2010-01-04	2026-06-30	Bed Bath & Beyond, Inc.	EQUITY	NYSE
INGEST	BBWI	4147	2010-01-04	2026-06-30	Bath & Body Works, Inc.	EQUITY	NYSE
INGEST	BMC	2439	2012-06-18	2022-03-02	1804073	MUTUALFUND	YHD
INGEST	CAG	4147	2010-01-04	2026-06-30	Conagra Brands, Inc.	EQUITY	NYSE
INGEST	CCE	138	2019-02-27	2020-04-29	Coca-Cola European Partners plc	MUTUALFUND	YHD
INGEST	CNX	4147	2010-01-04	2026-06-30	CNX Resources Corporation	EQUITY	NYSE
INGEST	COL	2055	2012-08-02	2020-11-30	Rockwell Collins, Inc.	MUTUALFUND	YHD
INGEST	CPB	4147	2010-01-04	2026-06-30	The Campbell's Company	EQUITY	NasdaqGS
INGEST	EMN	4147	2010-01-04	2026-06-30	Eastman Chemical Company	EQUITY	NYSE
INGEST	EP	4147	2010-01-04	2026-06-30	Empire Petroleum Corporation	EQUITY	NYSE American
INGEST	FHN	4147	2010-01-04	2026-06-30	First Horizon Corporation	EQUITY	NYSE
INGEST	FLR	4147	2010-01-04	2026-06-30	Fluor Corporation	EQUITY	NYSE
INGEST	FLS	4147	2010-01-04	2026-06-30	Flowserve Corporation	EQUITY	NYSE
INGEST	GHC	4147	2010-01-04	2026-06-30	Graham Holdings Company	EQUITY	NYSE
INGEST	GNW	4147	2010-01-04	2026-06-30	Genworth Financial, Inc.	EQUITY	NYSE
