bucket	ticker	bars	first	last	longName	quoteType	exchange
INGEST	GR	1950	2010-01-04	2018-02-22	1040989	MUTUALFUND	YHD
INGEST	GT	4147	2010-01-04	2026-06-30	The Goodyear Tire & Rubber Company	EQUITY	NasdaqGS
INGEST	HAR	2285	2013-01-17	2022-03-02	906601	MUTUALFUND	YHD
INGEST	HOG	4147	2010-01-04	2026-06-30	Harley-Davidson, Inc.	EQUITY	NYSE
INGEST	HOT	502	2015-01-02	2017-03-20	1659453	MUTUALFUND	YHD
INGEST	HRB	4147	2010-01-04	2026-06-30	H&R Block, Inc.	EQUITY	NYSE
INGEST	ITT	4147	2010-01-04	2026-06-30	ITT Inc.	EQUITY	NYSE
INGEST	JEF	4147	2010-01-04	2026-06-30	Jefferies Financial Group Inc.	EQUITY	NYSE
INGEST	KG	4147	2010-01-04	2026-06-30	Kestrel Group Ltd	EQUITY	NasdaqCM
INGEST	KSS	4147	2010-01-04	2026-06-30	Kohl's Corporation	EQUITY	NYSE
INGEST	LEG	4147	2010-01-04	2026-06-30	Leggett & Platt, Incorporated	EQUITY	NYSE
INGEST	LNC	4147	2010-01-04	2026-06-30	Lincoln National Corporation	EQUITY	NYSE
INGEST	LUMN	4147	2010-01-04	2026-06-30	Lumen Technologies, Inc.	EQUITY	NYSE
INGEST	M	4147	2010-01-04	2026-06-30	Macy's, Inc.	EQUITY	NYSE
INGEST	MAT	4147	2010-01-04	2026-06-30	Mattel, Inc.	EQUITY	NasdaqGS
INGEST	MOLX	991	2010-01-04	2013-12-09	655556	MUTUALFUND	YHD
INGEST	MUR	4147	2010-01-04	2026-06-30	Murphy Oil Corporation	EQUITY	NYSE
INGEST	NBR	4147	2010-01-04	2026-06-30	Nabors Industries Ltd.	EQUITY	NYSE
INGEST	NOV	4147	2010-01-04	2026-06-30	NOV Inc.	EQUITY	NYSE
INGEST	NSM	1610	2012-03-08	2018-07-31	Nationstar Mortgage Holdings Inc.	MUTUALFUND	YHD
INGEST	NWL	4147	2010-01-04	2026-06-30	Newell Brands Inc.	EQUITY	NasdaqGS
INGEST	NYT	4147	2010-01-04	2026-06-30	The New York Times Company	EQUITY	NYSE
INGEST	PBI	4147	2010-01-04	2026-06-30	Pitney Bowes Inc.	EQUITY	NYSE
INGEST	PTV	1602	2010-12-31	2017-05-31	980658	MUTUALFUND	YHD
INGEST	R	4147	2010-01-04	2026-06-30	Ryder System, Inc.	EQUITY	NYSE
INGEST	RHI	4147	2010-01-04	2026-06-30	Robert Half Inc.	EQUITY	NYSE
INGEST	RSH	1180	2010-01-05	2017-10-05	1664541	MUTUALFUND	YHD
INGEST	RX	53	2011-08-30	2018-02-22	771894	MUTUALFUND	YHD
INGEST	SCG	872	2015-07-16	2018-12-31	SCANA Corporation	MUTUALFUND	YHD
INGEST	SII	4114	2010-02-22	2026-06-30	Sprott Inc.	EQUITY	NYSE
INGEST	SLM	4147	2010-01-04	2026-06-30	SLM Corporation	EQUITY	NasdaqGS
INGEST	SVU	2216	2010-01-04	2018-10-22	SUPERVALU INC.	MUTUALFUND	YHD
INGEST	TEG	1551	2015-12-22	2022-03-02	?	MUTUALFUND	YHD
INGEST	THC	4147	2010-01-04	2026-06-30	Tenet Healthcare Corporation	EQUITY	NYSE
INGEST	TIE	2339	2010-01-04	2019-07-12	215914	MUTUALFUND	YHD
INGEST	TLAB	987	2010-01-04	2013-12-03	4999976	MUTUALFUND	YHD
INGEST	TWX	2127	2010-01-04	2018-06-15	17007297	MUTUALFUND	YHD
INGEST	UAA	4147	2010-01-04	2026-06-30	Under Armour, Inc.	EQUITY	NYSE
INGEST	UNM	4147	2010-01-04	2026-06-30	Unum Group	EQUITY	NYSE
INGEST	URBN	4147	2010-01-04	2026-06-30	Urban Outfitters, Inc.	EQUITY	NasdaqGS
INGEST	VFC	4147	2010-01-04	2026-06-30	V.F. Corporation	EQUITY	NYSE
INGEST	VNO	4147	2010-01-04	2026-06-30	Vornado Realty Trust	EQUITY	NYSE
INGEST	WHR	4147	2010-01-04	2026-06-30	Whirlpool Corporation	EQUITY	NYSE
INGEST	WU	4147	2010-01-04	2026-06-30	The Western Union Company	EQUITY	NYSE
INGEST	XRAY	4147	2010-01-04	2026-06-30	DENTSPLY SIRONA Inc.	EQUITY	NasdaqGS
INGEST	XRX	4147	2010-01-04	2026-06-30	Xerox Holdings Corporation	EQUITY	NasdaqGS
INGEST	ZION	4147	2010-01-04	2026-06-30	Zions Bancorporation, National Association	EQUITY	NasdaqGS
REVIEW	APC	95	2026-02-12	2026-06-30	ARKO Petroleum Corp.	EQUITY	NasdaqCM
REVIEW	BEAM	1607	2020-02-06	2026-06-30	Beam Therapeutics Inc.	EQUITY	NasdaqGS
REVIEW	BTU	2323	2017-04-03	2026-06-30	Peabody Energy Corporation	EQUITY	NYSE
REVIEW	CPRI	3654	2011-12-15	2026-06-30	Capri Holdings Limited	EQUITY	NYSE
REVIEW	DV	1304	2021-04-21	2026-06-30	DoubleVerify Holdings, Inc.	EQUITY	NYSE
REVIEW	LIFE	105	2026-01-29	2026-06-30	Ethos Technologies Inc.	EQUITY	NasdaqGS
REVIEW	MI	2662	2015-11-25	2026-06-30	NFT Limited	EQUITY	NYSE American
REVIEW	NE	1270	2021-06-09	2026-06-30	Noble Corporation plc	EQUITY	NYSE
REVIEW	POM	182	2025-10-08	2026-06-30	Pomdoctor Limited	EQUITY	NasdaqGM
REVIEW	S	1255	2021-06-30	2026-06-30	SentinelOne, Inc.	EQUITY	NYSE
REVIEW	SE	2183	2017-10-20	2026-06-30	Sea Limited	EQUITY	NYSE
REVIEW	SLE	1846	2019-02-26	2026-06-30	Super League Enterprise, Inc.	EQUITY	NasdaqCM
REVIEW	STI	1044	2022-05-02	2026-06-30	Solidion Technology, Inc.	EQUITY	NasdaqCM
REVIEW	SUN	3462	2012-09-20	2026-06-30	Sunoco LP	EQUITY	NYSE
REVIEW	TE	1625	2020-01-10	2026-06-30	T1 Energy Inc.	EQUITY	NYSE
REJECT	CAM	184	2025-10-06	2026-06-30	AB California Intermediate Municipal ETF	ETF	NYSEArca
REJECT	EMC	784	2023-05-15	2026-06-30	Global X Emerging Markets Great Consumer ETF	ETF	NYSEArca
REJECT	GENZ	4147	2010-01-04	2026-06-30	VanEck Digital Native Economy ETF	ETF	NasdaqGM
REJECT	MHS	1525	2020-02-12	2026-06-30	Morningstar US Healthcare	MUTUALFUND	YHD
REJECT	PCL	227	2025-08-05	2026-06-30	PGIM Corporate Bond 10+ Year ETF	ETF	Cboe US
REJECT	SHLD	700	2023-09-14	2026-06-30	Global X Defense Tech ETF	ETF	NYSEArca
REJECT	SPLS	113	2026-01-16	2026-06-30	PIMCO US Stocks PLUS Active Bond Exchange Traded Fund	ETF	Cboe US
