head,n_val,rounds,model_loss,baseline,improve_pct,beats_global,beats_sector,baseline_scaled,beats_scaled,coverage,cov_err,cov_ok
terminal_h5_q05,34195,93,0.005369,0.005676,5.42,True,True,0.009463,True,0.0862,0.0362,True
terminal_h5_q25,34195,42,0.014381,0.014543,1.12,True,True,0.01471,True,0.3313,0.0813,False
terminal_h5_q50,34195,47,0.017067,0.016959,-0.64,False,False,0.017001,False,0.5476,0.0476,True
terminal_h5_q75,34195,156,0.013479,0.013808,2.39,True,True,0.014775,True,0.7584,0.0084,True
terminal_h5_q95,34195,207,0.00474,0.005391,12.08,True,True,0.011514,True,0.9351,-0.0149,True
terminal_h10_q05,34195,127,0.007564,0.007896,4.21,True,True,0.013118,True,0.09,0.04,True
terminal_h10_q25,34195,38,0.020868,0.020941,0.35,True,True,0.020974,True,0.342,0.092,False
terminal_h10_q50,34195,33,0.024534,0.024328,-0.85,False,False,0.024409,False,0.5533,0.0533,False
terminal_h10_q75,34195,94,0.019146,0.019486,1.74,True,True,0.021185,True,0.7626,0.0126,True
terminal_h10_q95,34195,174,0.006549,0.007362,11.04,True,True,0.01716,True,0.9373,-0.0127,True
peak_h5_q05,34195,66,0.002971,0.002974,0.08,True,True,0.003124,True,0.0581,0.0081,True
peak_h5_q25,34195,110,0.00985,0.010255,3.95,True,True,0.010271,True,0.2432,-0.0068,True
peak_h5_q50,34195,214,0.013621,0.015182,10.28,True,True,0.015808,True,0.4607,-0.0393,True
peak_h5_q75,34195,198,0.01237,0.014745,16.11,True,True,0.01768,True,0.6867,-0.0633,False
peak_h5_q95,34195,210,0.005098,0.006365,19.91,True,True,0.020265,True,0.9159,-0.0341,True
peak_h10_q05,34195,54,0.00354,0.003549,0.26,True,True,0.003615,True,0.0546,0.0046,True
peak_h10_q25,34195,121,0.01244,0.013084,4.92,True,True,0.013184,True,0.2374,-0.0126,True
peak_h10_q50,34195,174,0.017634,0.019774,10.82,True,True,0.020722,True,0.4473,-0.0527,False
peak_h10_q75,34195,173,0.01604,0.019118,16.1,True,True,0.023673,True,0.6791,-0.0709,False
peak_h10_q95,34195,161,0.006561,0.008052,18.51,True,True,0.029068,True,0.9148,-0.0352,True
