fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-13 06:30:43.330841,BAC,confluence_high,64.9400,short,64.0536,89.215864,84.831132,92.415730,0.965714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,BNY,confluence_high,162.8700,short,162.4449,81.937632,78.037182,93.304536,2.786429,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,EW,confluence_high,93.0050,short,92.8383,92.719784,87.757897,98.039216,2.605714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,FDX,confluence_high,328.6300,short,324.0453,84.485539,76.285033,76.646943,6.645714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,HPE,confluence_high,61.8900,short,55.4146,86.061653,85.385550,84.175340,3.051929,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,JBL,confluence_high,365.0000,short,354.4109,86.586395,85.652819,98.456618,17.359286,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,JPM,confluence_high,365.3300,short,364.6842,85.463803,81.272386,94.415719,6.364286,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,KEYS,confluence_high,352.9375,short,345.7595,86.290205,87.232214,81.392184,13.236786,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,NTAP,confluence_high,207.0300,short,200.8433,87.333597,85.217081,90.233873,7.970714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,NTRS,confluence_high,191.8600,short,190.4088,91.400124,86.666160,87.165408,3.732143,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,PANW,confluence_high,391.3100,short,387.5423,92.112626,85.088242,95.677600,14.550714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,STT,confluence_high,189.4500,short,189.0227,80.012456,76.550136,87.528006,4.306429,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,TGT,confluence_high,155.1000,short,153.9801,93.330261,91.316466,88.361683,4.241429,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,TPL,confluence_low,337.4950,long,345.4172,12.025773,8.180346,25.486762,18.835714,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,VRTX,confluence_high,526.7750,short,515.5340,82.706263,78.676705,79.647653,15.886429,15.2800,-0.003213,{}
2026-08-13 06:30:43.330841,WBD,confluence_high,27.8100,short,27.4039,90.494005,79.849218,91.919192,0.540714,15.2800,-0.003213,{}
2026-08-13 06:36:18.365587,NVDA,confluence_high,225.7900,short,225.6083,85.352518,88.198727,79.107914,7.727143,15.2800,-0.003213,{}
2026-08-13 06:36:18.365587,WAT,confluence_high,415.2400,short,414.5670,98.020502,97.085585,98.686405,13.132143,15.2800,-0.003213,{}
2026-08-13 06:46:21.873103,TSM,confluence_high,433.5041,short,433.3508,88.596491,86.068599,92.086599,15.312857,15.2800,-0.003213,{}
2026-08-13 07:01:23.563054,A,confluence_high,149.1600,short,148.9156,97.771826,96.777792,94.813278,3.780000,15.2800,-0.003213,{}
