head,n_val,rounds,model_loss,baseline,improve_pct,beats_global,beats_sector,beats_scaled,coverage,cov_err,cov_ok
terminal_h5_q05,34195,84,0.005403,0.005676,4.82,True,True,True,0.087,0.037,True
terminal_h5_q25,34195,53,0.014328,0.014543,1.48,True,True,True,0.3297,0.0797,False
terminal_h5_q50,34195,35,0.017025,0.016959,-0.39,False,False,False,0.5461,0.0461,True
terminal_h5_q75,34195,140,0.01347,0.013808,2.45,True,True,True,0.7579,0.0079,True
terminal_h5_q95,34195,176,0.004751,0.005391,11.87,True,True,True,0.9358,-0.0142,True
terminal_h10_q05,34195,96,0.007571,0.007896,4.12,True,True,True,0.0877,0.0377,True
terminal_h10_q25,34195,29,0.020891,0.020941,0.24,True,True,True,0.3423,0.0923,False
terminal_h10_q50,34195,25,0.024518,0.024328,-0.78,False,False,False,0.5507,0.0507,False
terminal_h10_q75,34195,84,0.019177,0.019486,1.59,True,True,True,0.7638,0.0138,True
terminal_h10_q95,34195,189,0.006568,0.007362,10.78,True,True,True,0.9374,-0.0126,True
peak_h5_q05,34195,100,0.002971,0.002974,0.08,True,True,True,0.0586,0.0086,True
peak_h5_q25,34195,113,0.009831,0.010255,4.13,True,True,True,0.243,-0.007,True
peak_h5_q50,34195,234,0.013619,0.015182,10.3,True,True,True,0.461,-0.039,True
peak_h5_q75,34195,222,0.012389,0.014745,15.98,True,True,True,0.6867,-0.0633,False
peak_h5_q95,34195,235,0.005092,0.006365,20.0,True,True,True,0.9161,-0.0339,True
peak_h10_q05,34195,53,0.00354,0.003549,0.25,True,True,True,0.0543,0.0043,True
peak_h10_q25,34195,146,0.012422,0.013084,5.06,True,True,True,0.2389,-0.0111,True
peak_h10_q50,34195,166,0.017643,0.019774,10.78,True,True,True,0.4485,-0.0515,False
peak_h10_q75,34195,199,0.016079,0.019118,15.9,True,True,True,0.681,-0.069,False
peak_h10_q95,34195,210,0.00657,0.008052,18.41,True,True,True,0.9112,-0.0388,True
