ticker	bars	first	last	longName	quoteType	exchange
AA	4147	2010-01-04	2026-06-30	Alcoa Corporation	EQUITY	NYSE
AET	2244	2010-01-04	2018-11-29	Aetna Inc.	MUTUALFUND	YHD
AIV	4147	2010-01-04	2026-06-30	Apartment Investment and Management Company	EQUITY	NYSE
AN	4147	2010-01-04	2026-06-30	AutoNation, Inc.	EQUITY	NYSE
ANDV	2201	2010-01-04	2018-10-01	Andeavor	MUTUALFUND	YHD
ANF	4147	2010-01-04	2026-06-30	Abercrombie & Fitch Co.	EQUITY	NYSE
APC	95	2026-02-12	2026-06-30	ARKO Petroleum Corp.	EQUITY	NasdaqCM
ATI	4147	2010-01-04	2026-06-30	ATI Inc.	EQUITY	NYSE
BBBY	4147	2010-01-04	2026-06-30	Bed Bath & Beyond, Inc.	EQUITY	NYSE
BBWI	4147	2010-01-04	2026-06-30	Bath & Body Works, Inc.	EQUITY	NYSE
BEAM	1607	2020-02-06	2026-06-30	Beam Therapeutics Inc.	EQUITY	NasdaqGS
BMC	2439	2012-06-18	2022-03-02	1804073	MUTUALFUND	YHD
BTU	2323	2017-04-03	2026-06-30	Peabody Energy Corporation	EQUITY	NYSE
CAG	4147	2010-01-04	2026-06-30	Conagra Brands, Inc.	EQUITY	NYSE
CAM	184	2025-10-06	2026-06-30	AB California Intermediate Municipal ETF	ETF	NYSEArca
CCE	138	2019-02-27	2020-04-29	Coca-Cola European Partners plc	MUTUALFUND	YHD
CNX	4147	2010-01-04	2026-06-30	CNX Resources Corporation	EQUITY	NYSE
COL	2055	2012-08-02	2020-11-30	Rockwell Collins, Inc.	MUTUALFUND	YHD
CPB	4147	2010-01-04	2026-06-30	The Campbell's Company	EQUITY	NasdaqGS
CPRI	3654	2011-12-15	2026-06-30	Capri Holdings Limited	EQUITY	NYSE
DV	1304	2021-04-21	2026-06-30	DoubleVerify Holdings, Inc.	EQUITY	NYSE
EMC	784	2023-05-15	2026-06-30	Global X Emerging Markets Great Consumer ETF	ETF	NYSEArca
EMN	4147	2010-01-04	2026-06-30	Eastman Chemical Company	EQUITY	NYSE
EP	4147	2010-01-04	2026-06-30	Empire Petroleum Corporation	EQUITY	NYSE American
FHN	4147	2010-01-04	2026-06-30	First Horizon Corporation	EQUITY	NYSE
FLR	4147	2010-01-04	2026-06-30	Fluor Corporation	EQUITY	NYSE
FLS	4147	2010-01-04	2026-06-30	Flowserve Corporation	EQUITY	NYSE
GENZ	4147	2010-01-04	2026-06-30	VanEck Digital Native Economy ETF	ETF	NasdaqGM
GHC	4147	2010-01-04	2026-06-30	Graham Holdings Company	EQUITY	NYSE
GNW	4147	2010-01-04	2026-06-30	Genworth Financial, Inc.	EQUITY	NYSE
GR	1950	2010-01-04	2018-02-22	1040989	MUTUALFUND	YHD
GT	4147	2010-01-04	2026-06-30	The Goodyear Tire & Rubber Company	EQUITY	NasdaqGS
HAR	2285	2013-01-17	2022-03-02	906601	MUTUALFUND	YHD
HOG	4147	2010-01-04	2026-06-30	Harley-Davidson, Inc.	EQUITY	NYSE
HOT	502	2015-01-02	2017-03-20	1659453	MUTUALFUND	YHD
HRB	4147	2010-01-04	2026-06-30	H&R Block, Inc.	EQUITY	NYSE
ITT	4147	2010-01-04	2026-06-30	ITT Inc.	EQUITY	NYSE
JEF	4147	2010-01-04	2026-06-30	Jefferies Financial Group Inc.	EQUITY	NYSE
KG	4147	2010-01-04	2026-06-30	Kestrel Group Ltd	EQUITY	NasdaqCM
KSS	4147	2010-01-04	2026-06-30	Kohl's Corporation	EQUITY	NYSE
LEG	4147	2010-01-04	2026-06-30	Leggett & Platt, Incorporated	EQUITY	NYSE
LIFE	105	2026-01-29	2026-06-30	Ethos Technologies Inc.	EQUITY	NasdaqGS
LNC	4147	2010-01-04	2026-06-30	Lincoln National Corporation	EQUITY	NYSE
LUMN	4147	2010-01-04	2026-06-30	Lumen Technologies, Inc.	EQUITY	NYSE
M	4147	2010-01-04	2026-06-30	Macy's, Inc.	EQUITY	NYSE
MAT	4147	2010-01-04	2026-06-30	Mattel, Inc.	EQUITY	NasdaqGS
MHS	1525	2020-02-12	2026-06-30	Morningstar US Healthcare	MUTUALFUND	YHD
MI	2662	2015-11-25	2026-06-30	NFT Limited	EQUITY	NYSE American
MOLX	991	2010-01-04	2013-12-09	655556	MUTUALFUND	YHD
MUR	4147	2010-01-04	2026-06-30	Murphy Oil Corporation	EQUITY	NYSE
NBR	4147	2010-01-04	2026-06-30	Nabors Industries Ltd.	EQUITY	NYSE
NE	1270	2021-06-09	2026-06-30	Noble Corporation plc	EQUITY	NYSE
NOV	4147	2010-01-04	2026-06-30	NOV Inc.	EQUITY	NYSE
NSM	1610	2012-03-08	2018-07-31	Nationstar Mortgage Holdings Inc.	MUTUALFUND	YHD
NWL	4147	2010-01-04	2026-06-30	Newell Brands Inc.	EQUITY	NasdaqGS
NYT	4147	2010-01-04	2026-06-30	The New York Times Company	EQUITY	NYSE
PBI	4147	2010-01-04	2026-06-30	Pitney Bowes Inc.	EQUITY	NYSE
PCL	227	2025-08-05	2026-06-30	PGIM Corporate Bond 10+ Year ETF	ETF	Cboe US
POM	182	2025-10-08	2026-06-30	Pomdoctor Limited	EQUITY	NasdaqGM
PTV	1602	2010-12-31	2017-05-31	980658	MUTUALFUND	YHD
R	4147	2010-01-04	2026-06-30	Ryder System, Inc.	EQUITY	NYSE
RHI	4147	2010-01-04	2026-06-30	Robert Half Inc.	EQUITY	NYSE
RSH	1180	2010-01-05	2017-10-05	1664541	MUTUALFUND	YHD
RX	53	2011-08-30	2018-02-22	771894	MUTUALFUND	YHD
S	1255	2021-06-30	2026-06-30	SentinelOne, Inc.	EQUITY	NYSE
SCG	872	2015-07-16	2018-12-31	SCANA Corporation	MUTUALFUND	YHD
SE	2183	2017-10-20	2026-06-30	Sea Limited	EQUITY	NYSE
SHLD	700	2023-09-14	2026-06-30	Global X Defense Tech ETF	ETF	NYSEArca
SII	4114	2010-02-22	2026-06-30	Sprott Inc.	EQUITY	NYSE
