ticker	bars	first	last	longName	quoteType	exchange
SLE	1846	2019-02-26	2026-06-30	Super League Enterprise, Inc.	EQUITY	NasdaqCM
SLM	4147	2010-01-04	2026-06-30	SLM Corporation	EQUITY	NasdaqGS
SPLS	113	2026-01-16	2026-06-30	PIMCO US Stocks PLUS Active Bond Exchange Traded Fund	ETF	Cboe US
STI	1044	2022-05-02	2026-06-30	Solidion Technology, Inc.	EQUITY	NasdaqCM
SUN	3462	2012-09-20	2026-06-30	Sunoco LP	EQUITY	NYSE
SVU	2216	2010-01-04	2018-10-22	SUPERVALU INC.	MUTUALFUND	YHD
TE	1625	2020-01-10	2026-06-30	T1 Energy Inc.	EQUITY	NYSE
TEG	1551	2015-12-22	2022-03-02	?	MUTUALFUND	YHD
THC	4147	2010-01-04	2026-06-30	Tenet Healthcare Corporation	EQUITY	NYSE
TIE	2339	2010-01-04	2019-07-12	215914	MUTUALFUND	YHD
TLAB	987	2010-01-04	2013-12-03	4999976	MUTUALFUND	YHD
TWX	2127	2010-01-04	2018-06-15	17007297	MUTUALFUND	YHD
UAA	4147	2010-01-04	2026-06-30	Under Armour, Inc.	EQUITY	NYSE
UNM	4147	2010-01-04	2026-06-30	Unum Group	EQUITY	NYSE
URBN	4147	2010-01-04	2026-06-30	Urban Outfitters, Inc.	EQUITY	NasdaqGS
VFC	4147	2010-01-04	2026-06-30	V.F. Corporation	EQUITY	NYSE
VNO	4147	2010-01-04	2026-06-30	Vornado Realty Trust	EQUITY	NYSE
WHR	4147	2010-01-04	2026-06-30	Whirlpool Corporation	EQUITY	NYSE
WU	4147	2010-01-04	2026-06-30	The Western Union Company	EQUITY	NYSE
XRAY	4147	2010-01-04	2026-06-30	DENTSPLY SIRONA Inc.	EQUITY	NasdaqGS
XRX	4147	2010-01-04	2026-06-30	Xerox Holdings Corporation	EQUITY	NasdaqGS
ZION	4147	2010-01-04	2026-06-30	Zions Bancorporation, National Association	EQUITY	NasdaqGS
