           fired_at            | ticker |   signal_type   | entry_price | side  |  k_full   |  d_full   |  k_fast   |  atr_14   | vix_close | spx_ret_1d | channels_sent 
-------------------------------+--------+-----------------+-------------+-------+-----------+-----------+-----------+-----------+-----------+------------+---------------
 2026-08-04 09:30:37.500719+00 | D      | confluence_low  |     68.5650 | long  | 16.485178 | 25.156026 |  1.799486 |  1.322143 |   15.9900 |   0.007004 | {}
 2026-08-04 09:30:37.500719+00 | DTE    | confluence_low  |    141.6600 | long  |  9.222079 | 15.913019 | 11.996497 |  3.207857 |   15.9900 |   0.007004 | {}
 2026-08-04 09:30:37.500719+00 | GRMN   | confluence_high |    303.4950 | short | 87.377882 | 82.666020 | 85.023447 | 10.836429 |   15.9900 |   0.007004 | {}
 2026-08-04 09:30:37.500719+00 | NTAP   | confluence_high |    185.3650 | short | 83.968153 | 80.913157 | 94.437367 |  7.463571 |   15.9900 |   0.007004 | {}
 2026-08-04 09:30:37.500719+00 | TGT    | confluence_high |    148.5000 | short | 81.581253 | 83.431628 | 78.449409 |  4.204286 |   15.9900 |   0.007004 | {}
 2026-08-04 09:32:03.59803+00  | AEE    | confluence_low  |    108.7950 | long  | 19.878658 | 30.049822 | 30.671736 |  2.412143 |   15.9900 |   0.007004 | {}
 2026-08-04 09:32:03.59803+00  | AEP    | confluence_low  |    127.0000 | long  |  6.761578 | 20.090972 | 10.440123 |  2.783571 |   15.9900 |   0.007004 | {}
 2026-08-04 09:32:03.59803+00  | ETR    | confluence_low  |    107.7350 | long  |  1.539277 | 11.948609 |  0.217391 |  2.695714 |   15.9900 |   0.007004 | {}
 2026-08-04 12:46:48.65077+00  | BMY    | confluence_high |     65.5200 | short | 88.417724 | 84.994046 | 96.058559 |  1.802143 |   15.9900 |   0.007004 | {}
(9 rows)

