fired_at,ticker,signal_type,entry_price,side,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
 2026-08-03 09:39:16.231338+00 | AMZN   | bb_upper_touch   | 285.9200    | short | 42.430107 | 19.945554 | 96.494583 | 9.2564  | 15.99     | 0.007004   | {}
 2026-08-03 09:39:16.231338+00 | BMY    | confluence_high  | 66.1800     | short | 88.417724 | 84.994046 | 96.058559 | 1.8021  | 15.99     | 0.007004   | {}
 2026-08-03 09:39:16.231338+00 | BUD    | stoch_overbought | 84.7300     | short | 98.895789 | 89.543284 | 98.433420 | 1.8943  | 15.99     | 0.007004   | {}
 2026-08-03 09:39:16.231338+00 | CAT    | stoch_oversold   | 814.6350    | long  | 13.900228 | 12.409925 | 20.574670 | 41.4007 | 15.99     | 0.007004   | {}
 2026-08-03 09:39:16.231338+00 | GS     | stoch_oversold   | 1019.8700   | long  | 17.185698 | 15.282267 | 23.075614 | 45.6300 | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | MO     | bb_lower_touch   | 68.4600     | long  | 29.395526 | 47.273403 | 14.662757 | 2.3607  | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | MS     | stoch_oversold   | 210.3600    | long  | 16.820198 | 15.470779 | 25.520300 | 8.1214  | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | TSLA   | stoch_oversold   | 317.9300    | long  | 7.992754  | 5.849449  | 12.663675 | 15.8457 | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | TT     | stoch_oversold   | 455.3000    | long  | 11.974823 | 21.093399 | 29.701610 | 16.5529 | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | TXN    | stoch_oversold   | 268.9550    | long  | 15.003542 | 12.299032 | 16.138728 | 12.3143 | 15.99     | 0.007004   | {}
 2026-08-03 09:39:33.794185+00 | VRT    | stoch_oversold   | 244.1000    | long  | 10.116141 | 10.004858 | 21.452317 | 20.6235 | 15.99     | 0.007004   | {}
 2026-08-03 09:44:50.690404+00 | ADI    | bb_lower_touch   | 357.5100    | long  | 20.336391 | 15.584228 | 30.608841 | 13.8079 | 15.99     | 0.007004   | {}
 2026-08-03 09:44:50.690404+00 | LLY    | bb_lower_touch   | 1132.0000   | long  | 41.654136 | 59.610065 | 26.407080 | 35.5521 | 15.99     | 0.007004   | {}
 2026-08-03 09:44:50.690404+00 | TXN    | confluence_low   | 267.2800    | long  | 15.003542 | 12.299032 | 16.138728 | 12.3143 | 15.99     | 0.007004   | {}
 2026-08-03 09:55:08.044282+00 | BMY    | stoch_overbought | 64.5900     | short | 88.417724 | 84.994046 | 96.058559 | 1.8021  | 15.99     | 0.007004   | {}
 2026-08-03 10:25:44.440131+00 | ETN    | bb_upper_touch   | 427.9055    | short | 48.550234 | 33.199378 | 92.241797 | 19.7900 | 15.99     | 0.007004   | {}
 2026-08-03 15:45:19.432699+00 | PH     | bb_upper_touch   | 993.8550    | short | 43.839815 | 52.846020 | 63.536328 | 24.8664 | 15.99     | 0.007004   | {}
