Ticker,Date,Signal Type,All Signals,Signal Strength,Direction,Upper Bound (Prior Day),Upper Bound (Same Day),20-day MA (Split-Adjusted),Lower Bound,bb_pctb,Full Stochastic Value,Fast Stochastic Value [TRIGGER],K Crossed Up,K Crossed Down,52-Week Drawdown Range,Price vs 200-day MA
MPC,2026-08-14,Bear Reversal Above Upper Band,Bear Reversal Above Upper Band; Confluence High; Bollinger Band Upper Bound; Stochastic Overbought,4,Short,345.55039,352.255766,315.9435,286.33661,1.182721,99.506898,98.758229,False,False,0-10,above_sma200
VLO,2026-08-14,Bear Reversal Above Upper Band,Bear Reversal Above Upper Band; Confluence High; Bollinger Band Upper Bound; Stochastic Overbought,4,Short,332.331648,337.761102,310.907,289.482352,1.247107,98.394751,98.450354,False,False,0-10,above_sma200
