# generated_at=2026-08-14T18:34:44.652696+00:00
# edge_ci_low/edge_ci_high = stored cell_stats.ci_low/ci_high minus stored baseline_empirical (no new statistic; see module docstring)
signal_type,side,dd_bucket,rendered,n_events,n_eff,edge,edge_ci_low,edge_ci_high,suppress_reason
bb_lower_touch,long,0-10,True,672.0,107.0,-0.0181325886928477,-0.08083258869284801,0.06626741130715197,
bb_lower_touch,long,10-20,True,275.0,36.0,0.0180384498370156,-0.094270641072075,0.177929358927925,
stoch_oversold,long,0-10,True,240.0,32.0,-0.0044799468791501,-0.108146613545817,0.162153386454183,
stoch_oversold,long,10-20,True,316.0,36.0,0.0329303041000555,-0.08149880982399499,0.19470119017600504,
confluence_low,long,0-10,False,138.0,17.0,,,,n_eff 16.6 below min_n_eff 30
confluence_low,long,10-20,False,221.0,20.0,,,,n_eff 20.3 below min_n_eff 30
bb_upper_touch,short,0-10,True,580.0,157.0,0.0302875669734854,-0.021822777854101,0.097677222145899,
bb_upper_touch,short,10-20,False,112.0,25.0,,,,n_eff 24.6 below min_n_eff 30
stoch_overbought,short,0-10,True,825.0,84.0,0.0318867270312689,-0.03697993963539799,0.128120060364602,
stoch_overbought,short,10-20,False,154.0,13.0,,,,n_eff 13.4 below min_n_eff 30
confluence_high,short,0-10,True,399.0,57.0,0.0375703401931123,-0.04350585028307799,0.157794149716922,
confluence_high,short,10-20,False,40.0,6.0,,,,n_eff 5.7 below min_n_eff 30
bear_close_above_upper,short,0-10,False,57.0,22.0,,,,n_eff 21.6 below min_n_eff 30
bear_close_above_upper,short,10-20,False,4.0,3.0,,,,n_eff 2.5 below min_n_eff 30
ALL,ALL,20-35,False,,13.6,,,,"permanently suppressed (ADR 101): 20-35 and 35+ cleared min_n_eff=30 in zero of the cells measured for the study; best n_eff observed 13.6, 0/59 cells cleared the floor"
ALL,ALL,35+,False,,1.7,,,,"permanently suppressed (ADR 101): 20-35 and 35+ cleared min_n_eff=30 in zero of the cells measured for the study; best n_eff observed 1.7, 0/59 cells cleared the floor"
