# generated_at=2026-08-18T04:02:06.663842+00:00
# edge_ci_low/edge_ci_high = stored cell_stats.ci_low/ci_high minus stored baseline_empirical (no new statistic; see module docstring)
signal_type,side,dd_bucket,rendered,n_events,n_eff,edge,edge_ci_low,edge_ci_high,suppress_reason
bb_lower_touch,long,0-10,True,676.0,78.0,-0.0176015700511563,-0.088212812654707,0.08258718734529302,
bb_lower_touch,long,10-20,True,352.0,36.0,0.01633873596523,-0.09417944585295199,0.17562055414704802,
stoch_oversold,long,0-10,True,421.0,58.0,-0.010793803408693,-0.09419404093838402,0.109805959061616,
stoch_oversold,long,10-20,True,357.0,42.0,0.00891350006137911,-0.09348061758568002,0.15541938241431996,
confluence_low,long,0-10,False,61.0,13.0,,,,n_eff 12.8 below min_n_eff 30
confluence_low,long,10-20,False,124.0,16.0,,,,n_eff 15.7 below min_n_eff 30
bb_upper_touch,short,0-10,True,690.0,122.0,0.0239247993533114,-0.03273896876263101,0.10056103123736898,
bb_upper_touch,short,10-20,False,114.0,17.0,,,,n_eff 17.1 below min_n_eff 30
stoch_overbought,short,0-10,True,1031.0,114.0,0.0481974024368095,-0.015218407456497995,0.13088159254350198,
stoch_overbought,short,10-20,False,228.0,21.0,,,,n_eff 21.4 below min_n_eff 30
confluence_high,short,0-10,True,252.0,45.0,0.0253737431227471,-0.059997685448681004,0.161702314551319,
confluence_high,short,10-20,False,25.0,4.0,,,,n_eff 4.3 below min_n_eff 30
bear_close_above_upper,short,0-10,False,24.0,13.0,,,,n_eff 12.8 below min_n_eff 30
bear_close_above_upper,short,10-20,False,3.0,3.0,,,,n_eff 2.6 below min_n_eff 30
ALL,ALL,20-35,False,,13.6,,,,"permanently suppressed (ADR 101): 20-35 and 35+ cleared min_n_eff=30 in zero of the cells measured for the study; best n_eff observed 13.6, 0/59 cells cleared the floor"
ALL,ALL,35+,False,,1.7,,,,"permanently suppressed (ADR 101): 20-35 and 35+ cleared min_n_eff=30 in zero of the cells measured for the study; best n_eff observed 1.7, 0/59 cells cleared the floor"
