arm,head,tau,improve,cov,cov_err,cov_ok,n_train,year
A_train2010,peak_h10_q50,0.5,,0.46717282114023145,-0.03282717885976855,,,2023.0
A_train2010,peak_h10_q75,0.75,,0.6722119872024994,-0.07778801279750058,,,2022.0
A_train2010,peak_h10_q75,0.75,,0.7159485835956887,-0.03405141640431131,,,2023.0
A_train2010,peak_h10_q95,0.95,,0.908089961220891,-0.04191003877910893,,,2022.0
A_train2010,peak_h10_q95,0.95,,0.9402301598034931,-0.00976984019650684,,,2023.0
B_train2002,terminal_h5_q05,0.05,6.397624207212112,0.06899237015259695,0.018992370152596944,True,375190.0,
B_train2002,terminal_h5_q25,0.25,2.1569784556119993,0.2938978720425591,0.04389787204255913,True,375190.0,
B_train2002,terminal_h5_q50,0.5,0.3482542761800535,0.5342468150636986,0.034246815063698643,True,375190.0,
B_train2002,terminal_h5_q75,0.75,2.496805143610834,0.7664286714265715,0.01642867142657145,True,375190.0,
B_train2002,terminal_h5_q95,0.95,8.968593460521298,0.949090018199636,-0.0009099818003639459,True,375190.0,
B_train2002,terminal_h5_q05,0.05,,0.08804396280677115,0.03804396280677115,,,2022.0
B_train2002,terminal_h5_q05,0.05,,0.05380354958122742,0.0038035495812274167,,,2023.0
B_train2002,terminal_h5_q25,0.25,,0.3325219833758733,0.0825219833758733,,,2022.0
B_train2002,terminal_h5_q25,0.25,,0.26310492431271293,0.013104924312712929,,,2023.0
B_train2002,terminal_h5_q50,0.5,,0.575145865468446,0.07514586546844604,,,2022.0
B_train2002,terminal_h5_q50,0.5,,0.5016401795233888,0.0016401795233887961,,,2023.0
B_train2002,terminal_h5_q75,0.75,,0.7947074208933792,0.0447074208933792,,,2022.0
B_train2002,terminal_h5_q75,0.75,,0.7438835299556853,-0.0061164700443147035,,,2023.0
B_train2002,terminal_h5_q95,0.95,,0.9629803500771241,0.01298035007712417,,,2022.0
B_train2002,terminal_h5_q95,0.95,,0.9380159960748916,-0.011984003925108344,,,2023.0
B_train2002,terminal_h10_q05,0.05,5.886867413622673,0.0755214895702086,0.025521489570208597,True,375190.0,
B_train2002,terminal_h10_q25,0.25,2.1086525927251936,0.3156691866162677,0.0656691866162677,False,375190.0,
B_train2002,terminal_h10_q50,0.5,0.00731785644535947,0.5499562508749825,0.049956250874982455,True,375190.0,
B_train2002,terminal_h10_q75,0.75,2.463398092212282,0.7674261514769705,0.017426151476970464,True,375190.0,
B_train2002,terminal_h10_q95,0.95,10.216701593102298,0.9449041019179616,-0.005095898082038364,True,375190.0,
B_train2002,terminal_h10_q05,0.05,,0.10217486498321411,0.05217486498321411,,,2022.0
B_train2002,terminal_h10_q05,0.05,,0.0542721723021956,0.0042721723021956,,,2023.0
B_train2002,terminal_h10_q25,0.25,,0.3661726242371403,0.11617262423714031,,,2022.0
B_train2002,terminal_h10_q25,0.25,,0.2754054844583948,0.0254054844583948,,,2023.0
B_train2002,terminal_h10_q50,0.5,,0.5959713910378046,0.09597139103780461,,,2022.0
B_train2002,terminal_h10_q50,0.5,,0.5132708293364114,0.013270829336411438,,,2023.0
B_train2002,terminal_h10_q75,0.75,,0.8022659939168476,0.05226599391684761,,,2022.0
B_train2002,terminal_h10_q75,0.75,,0.7396501998723082,-0.010349800127691822,,,2023.0
B_train2002,terminal_h10_q95,0.95,,0.9606764843956493,0.010676484395649388,,,2022.0
B_train2002,terminal_h10_q95,0.95,,0.9323296210446199,-0.01767037895538004,,,2023.0
B_train2002,peak_h5_q05,0.05,0.599088915361864,0.05113572728545429,0.0011357272854542882,True,375190.0,
B_train2002,peak_h5_q25,0.25,3.7218323464457503,0.2480872882542349,-0.0019127117457651,True,375190.0,
B_train2002,peak_h5_q50,0.5,8.772797673895887,0.48489780204395905,-0.015102197956040952,True,375190.0,
B_train2002,peak_h5_q75,0.75,13.877257345051412,0.7202470950580988,-0.029752904941901193,True,375190.0,
B_train2002,peak_h5_q95,0.95,17.196943924544318,0.936618017639647,-0.013381982360352929,True,375190.0,
B_train2002,peak_h5_q05,0.05,,0.05236560454776773,0.0023656045477677273,,,2022.0
B_train2002,peak_h5_q05,0.05,,0.050155211619327386,0.00015521161932738337,,,2023.0
B_train2002,peak_h5_q25,0.25,,0.25217466773444,0.0021746677344399723,,,2022.0
B_train2002,peak_h5_q25,0.25,,0.24482863819495335,-0.005171361805046654,,,2023.0
B_train2002,peak_h5_q50,0.5,,0.48456528342676347,-0.015434716573236529,,,2022.0
B_train2002,peak_h5_q50,0.5,,0.48516290143511775,-0.014837098564882245,,,2023.0
B_train2002,peak_h5_q75,0.75,,0.7135356053762125,-0.03646439462378748,,,2022.0
B_train2002,peak_h5_q75,0.75,,0.7255978084811276,-0.02440219151887235,,,2023.0
B_train2002,peak_h5_q95,0.95,,0.9319649528378181,-0.01803504716218185,,,2022.0
B_train2002,peak_h5_q95,0.95,,0.9403276584904059,-0.009672341509594062,,,2023.0
B_train2002,peak_h10_q05,0.05,0.31294507343281247,0.0499667506649867,-3.324933501330091e-05,True,375190.0,
B_train2002,peak_h10_q25,0.25,4.3052158248906585,0.24372287554248911,-0.006277124457510885,True,375190.0,
B_train2002,peak_h10_q50,0.5,8.984040952225163,0.479129917401652,-0.020870082598347994,True,375190.0,
B_train2002,peak_h10_q75,0.75,13.657806141159371,0.716670166596668,-0.033329833403331954,True,375190.0,
B_train2002,peak_h10_q95,0.95,17.238739704478427,0.9379567408651825,-0.012043259134817408,True,375190.0,
B_train2002,peak_h10_q05,0.05,,0.05082706410979655,0.0008270641097965492,,,2022.0
B_train2002,peak_h10_q05,0.05,,0.049280868556044445,-0.0007191314439555577,,,2023.0
B_train2002,peak_h10_q25,0.25,,0.2484861156587912,-0.0015138843412088043,,,2022.0
B_train2002,peak_h10_q25,0.25,,0.23992539777891705,-0.010074602221082946,,,2023.0
B_train2002,peak_h10_q50,0.5,,0.469463917281754,-0.030536082718245983,,,2022.0
B_train2002,peak_h10_q50,0.5,,0.48683610470729954,-0.013163895292700456,,,2023.0
B_train2002,peak_h10_q75,0.75,,0.6914516326281032,-0.05854836737189684,,,2022.0
B_train2002,peak_h10_q75,0.75,,0.7367755611678457,-0.013224438832154295,,,2023.0
B_train2002,peak_h10_q95,0.95,,0.9257989561594874,-0.02420104384051258,,,2022.0
B_train2002,peak_h10_q95,0.95,,0.9476494953656673,-0.0023505046343326175,,,2023.0
