arm,head,tau,improve,cov,cov_err,cov_ok,n_train,year
A_train2010,terminal_h5_q05,0.05,5.475089918122892,0.08069438611227775,0.030694386112277747,True,265175.0,
A_train2010,terminal_h5_q25,0.25,2.034658973980052,0.31069053618927617,0.06069053618927617,False,265175.0,
A_train2010,terminal_h5_q50,0.5,0.04716097848356447,0.5451613467730646,0.0451613467730646,True,265175.0,
A_train2010,terminal_h5_q75,0.75,2.36129864525371,0.7606537869242614,0.010653786924261444,True,265175.0,
A_train2010,terminal_h5_q95,0.95,9.217626223962249,0.9408686826263474,-0.009131317373652581,True,265175.0,
A_train2010,terminal_h5_q05,0.05,,0.10834480663702672,0.05834480663702672,,,2022.0
A_train2010,terminal_h5_q05,0.05,,0.05865017785647564,0.008650177856475635,,,2023.0
A_train2010,terminal_h5_q25,0.25,,0.36148599336455123,0.11148599336455123,,,2022.0
A_train2010,terminal_h5_q25,0.25,,0.27019402238695656,0.020194022386956556,,,2023.0
A_train2010,terminal_h5_q50,0.5,,0.5961331350325657,0.09613313503256571,,,2022.0
A_train2010,terminal_h5_q50,0.5,,0.5045242535846494,0.0045242535846493626,,,2023.0
A_train2010,terminal_h5_q75,0.75,,0.7978870711318528,0.047887071131852754,,,2022.0
A_train2010,terminal_h5_q75,0.75,,0.7309696716181323,-0.01903032838186769,,,2023.0
A_train2010,terminal_h5_q95,0.95,,0.9567551787665638,0.006755178766563841,,,2022.0
A_train2010,terminal_h5_q95,0.95,,0.9282032250049537,-0.021796774995046286,,,2023.0
A_train2010,terminal_h10_q05,0.05,4.020348350010748,0.0893217135657287,0.039321713565728694,True,265175.0,
A_train2010,terminal_h10_q25,0.25,1.793545048728255,0.3315273694526109,0.08152736945261091,False,265175.0,
A_train2010,terminal_h10_q50,0.5,-0.0722121762838492,0.5555193896122077,0.055519389612207704,False,265175.0,
A_train2010,terminal_h10_q75,0.75,2.5094654831149237,0.7595443091138177,0.00954430911381765,True,265175.0,
A_train2010,terminal_h10_q95,0.95,10.718977381312907,0.9376137477250454,-0.012386252274954601,True,265175.0,
A_train2010,terminal_h10_q05,0.05,,0.12710316505382918,0.07710316505382918,,,2022.0
A_train2010,terminal_h10_q05,0.05,,0.05920057366969332,0.009200573669693318,,,2023.0
A_train2010,terminal_h10_q25,0.25,,0.3970262774816854,0.1470262774816854,,,2022.0
A_train2010,terminal_h10_q25,0.25,,0.2793085770538413,0.029308577053841323,,,2023.0
A_train2010,terminal_h10_q50,0.5,,0.610926793089981,0.11092679308998099,,,2022.0
A_train2010,terminal_h10_q50,0.5,,0.5113460165496159,0.011346016549615867,,,2023.0
A_train2010,terminal_h10_q75,0.75,,0.8018438815402762,0.05184388154027619,,,2022.0
A_train2010,terminal_h10_q75,0.75,,0.7258211119253475,-0.024178888074652516,,,2023.0
A_train2010,terminal_h10_q95,0.95,,0.9555598511955248,0.005559851195524823,,,2022.0
A_train2010,terminal_h10_q95,0.95,,0.9233062748267827,-0.02669372517321722,,,2023.0
A_train2010,peak_h5_q05,0.05,0.3390783262634943,0.05397592048159036,0.003975920481590359,True,265175.0,
A_train2010,peak_h5_q25,0.25,3.947064070850679,0.24596108077838444,-0.004038919221615561,True,265175.0,
A_train2010,peak_h5_q50,0.5,9.542195239501513,0.4680981380372392,-0.03190186196276079,True,265175.0,
A_train2010,peak_h5_q75,0.75,15.224298111622858,0.7040546689066218,-0.04594533109337817,True,265175.0,
A_train2010,peak_h5_q95,0.95,19.142169045303543,0.9277194456110878,-0.022280554388912188,True,265175.0,
A_train2010,peak_h5_q05,0.05,,0.05551763995786766,0.005517639957867658,,,2022.0
A_train2010,peak_h5_q05,0.05,,0.05274678961984947,0.00274678961984947,,,2023.0
A_train2010,peak_h5_q25,0.25,,0.2515158568289498,0.0015158568289497798,,,2022.0
A_train2010,peak_h5_q25,0.25,,0.24153255355351266,-0.008467446446487337,,,2023.0
A_train2010,peak_h5_q50,0.5,,0.47022924252525766,-0.029770757474742338,,,2022.0
A_train2010,peak_h5_q50,0.5,,0.4663991218827941,-0.03360087811720591,,,2023.0
A_train2010,peak_h5_q75,0.75,,0.695301928698513,-0.05469807130148696,,,2022.0
A_train2010,peak_h5_q75,0.75,,0.7110327627039218,-0.038967237296078205,,,2023.0
A_train2010,peak_h5_q95,0.95,,0.9195185551921793,-0.030481444807820668,,,2022.0
A_train2010,peak_h5_q95,0.95,,0.934257578950348,-0.015742421049651956,,,2023.0
A_train2010,peak_h10_q05,0.05,0.205068351825822,0.051478720425591484,0.0014787204255914815,True,265175.0,
A_train2010,peak_h10_q25,0.25,4.8234033815565205,0.24288289234215316,-0.007117107657846844,True,265175.0,
A_train2010,peak_h10_q50,0.5,9.939357839117006,0.4607797844043119,-0.03922021559568811,True,265175.0,
A_train2010,peak_h10_q75,0.75,14.919814393104813,0.696547319053619,-0.053452680946381004,False,265175.0,
A_train2010,peak_h10_q95,0.95,18.643347374631325,0.9259729805403892,-0.02402701945961072,True,265175.0,
A_train2010,peak_h10_q05,0.05,,0.05257074327283056,0.002570743272830557,,,2022.0
A_train2010,peak_h10_q05,0.05,,0.05060810874563222,0.0006081087456322187,,,2023.0
A_train2010,peak_h10_q25,0.25,,0.2477129004643236,-0.0022870995356764068,,,2022.0
A_train2010,peak_h10_q25,0.25,,0.23903218400203807,-0.010967815997961927,,,2023.0
A_train2010,peak_h10_q50,0.5,,0.4527608910910618,-0.04723910890893818,,,2022.0
