fit_on,eval_on,field,arm,cell,n,n_eff,base_rate,mean_p,bias,ece,brier
W1,W2,p_touch_2,POOLED,all,26897,18352.816573406217,0.7168774430903656,0.7003829691664372,-0.016494473923928443,0.017793682994899418,0.19298386396961809
W1,W2,p_touch_2,POOLED,above,25326,17263.106079897192,0.7111123803151888,0.6960717849792158,-0.015040595335972906,0.019109243688381215,0.1962066804126075
W1,W2,p_touch_2,POOLED,below,1571,1090.195372571406,0.8062211544540685,0.7671952851254823,-0.039025869328586205,0.04628842043261072,0.14303846124123143
W1,W2,p_touch_2,SPLIT,all,26897,18352.816573406217,0.7168774430903656,0.699918626049022,-0.01695881704134361,0.018303906771815016,0.19277356959543732
W1,W2,p_touch_2,SPLIT,above,25326,17263.106079897192,0.7111123803151888,0.6960997884837404,-0.015012591831448319,0.01719877122252182,0.19600142455306135
W1,W2,p_touch_2,SPLIT,below,1571,1090.195372571406,0.8062211544540685,0.7591008300393176,-0.04712032441475089,0.04712032441475078,0.1427500827915125
W1,W2,p_touch_3,POOLED,all,26897,18352.816573406217,0.5887771135126848,0.5673015083736413,-0.021475605139043452,0.021814781946271154,0.22310628484281478
W1,W2,p_touch_3,POOLED,above,25326,17263.106079897192,0.5798905039510776,0.5610294673223002,-0.01886103662877736,0.018981810225739554,0.22607394723412272
W1,W2,p_touch_3,POOLED,below,1571,1090.195372571406,0.7264968072327243,0.6645020848816953,-0.061994722351028986,0.07447812198292618,0.17711511658432186
W1,W2,p_touch_3,SPLIT,all,26897,18352.816573406217,0.5887771135126848,0.5651128461641912,-0.023664267348493584,0.02384174570097956,0.223067751973957
W1,W2,p_touch_3,SPLIT,above,25326,17263.106079897192,0.5798905039510776,0.5588308861205296,-0.021059617830547994,0.02115305019586403,0.22606251513023273
W1,W2,p_touch_3,SPLIT,below,1571,1090.195372571406,0.7264968072327243,0.6624671416552741,-0.06402966557745016,0.07264295938168776,0.17665659125095176
W1,W2,p_touch_5,POOLED,all,26897,18352.816573406217,0.37445006514907636,0.3503822565973301,-0.024067808551746284,0.026060142336402952,0.20716685463258372
W1,W2,p_touch_5,POOLED,above,25326,17263.106079897192,0.3637683938267726,0.3420637129862315,-0.021704680840541113,0.026405786700577666,0.20633743055534748
W1,W2,p_touch_5,POOLED,below,1571,1090.195372571406,0.5399886198394134,0.4792983826378752,-0.060690237201538155,0.08202402705004584,0.22002080405942645
W1,W2,p_touch_5,SPLIT,all,26897,18352.816573406217,0.37445006514907636,0.34557219039252535,-0.028877874756551014,0.02887787475655102,0.20818410510331786
W1,W2,p_touch_5,SPLIT,above,25326,17263.106079897192,0.3637683938267726,0.33698105221481833,-0.026787341611954285,0.028376528911001307,0.20742663232748035
W1,W2,p_touch_5,SPLIT,below,1571,1090.195372571406,0.5399886198394134,0.4787128342272652,-0.06127578561214819,0.07603516403414834,0.2199229935923883
W1,W2,p_touch_10,POOLED,all,26897,18352.816573406217,0.21599984670805547,0.20258205010626792,-0.013417796601787546,0.014755871236998504,0.14672027588055137
W1,W2,p_touch_10,POOLED,above,25326,17263.106079897192,0.2059292681633302,0.1962928849666561,-0.00963638319667412,0.01217466972972399,0.14238762139008357
W1,W2,p_touch_10,POOLED,below,1571,1090.195372571406,0.3720680280710628,0.3000480061356713,-0.07202002193539153,0.0841627024107337,0.21386532656443172
W1,W2,p_touch_10,SPLIT,all,26897,18352.816573406217,0.21599984670805547,0.18953802606783143,-0.026461820640224037,0.02658932557946888,0.14848925076993053
W1,W2,p_touch_10,SPLIT,above,25326,17263.106079897192,0.2059292681633302,0.18119813540834434,-0.02473113275498587,0.02480364024995537,0.14445742250015214
W1,W2,p_touch_10,SPLIT,below,1571,1090.195372571406,0.3720680280710628,0.3187849766985106,-0.05328305137255224,0.07449941571856394,0.2109722653095322
W1,W2,p_adverse_3,POOLED,all,26897,18352.816573406217,0.350465624281444,0.3468621385694361,-0.0036034857120079145,0.019967752225038188,0.2147708735901132
W1,W2,p_adverse_3,POOLED,above,25326,17263.106079897192,0.34715020622299825,0.3411479272905911,-0.0060022789324071235,0.016840354087095374,0.21390006075902154
W1,W2,p_adverse_3,POOLED,below,1571,1090.195372571406,0.4018461149396219,0.43541778194708775,0.03357166700746583,0.04931473431341141,0.228266242724315
W1,W2,p_adverse_3,SPLIT,all,26897,18352.816573406217,0.350465624281444,0.3454764027453837,-0.004989221536060295,0.01611750393433122,0.21474574126986604
W1,W2,p_adverse_3,SPLIT,above,25326,17263.106079897192,0.34715020622299825,0.3394110664021182,-0.007739139820880037,0.015644284519086855,0.21365656457747612
W1,W2,p_adverse_3,SPLIT,below,1571,1090.195372571406,0.4018461149396219,0.4394735855531385,0.03762747061351657,0.05600666622228122,0.23162519112563446
W1,W2,p_adverse_5,POOLED,all,26897,18352.816573406217,0.20110945044837894,0.19002294167306,-0.011086508775318943,0.01860414935570253,0.15021298738458527
W1,W2,p_adverse_5,POOLED,above,25326,17263.106079897192,0.19739069773134305,0.1847461423178907,-0.012644555413452357,0.020016690981270926,0.14840827822958091
W1,W2,p_adverse_5,POOLED,below,1571,1090.195372571406,0.25874059556173734,0.271799820242774,0.013059224681036652,0.023737297235995176,0.178181358264154
W1,W2,p_adverse_5,SPLIT,all,26897,18352.816573406217,0.20110945044837894,0.19082522397293156,-0.010284226475447383,0.016970882945785273,0.1502107217537259
W1,W2,p_adverse_5,SPLIT,above,25326,17263.106079897192,0.19739069773134305,0.18538287779076298,-0.012007819940580061,0.0149617064132912,0.14843967143465145
W1,W2,p_adverse_5,SPLIT,below,1571,1090.195372571406,0.25874059556173734,0.2751676544725026,0.016427058910765235,0.0229723400295381,0.17765746686104572
W2,W1,p_touch_2,POOLED,all,12408,8436.34951356094,0.7111014922912029,0.7255876337899889,0.01448614149878602,0.020811549909834387,0.19143283843108938
W2,W1,p_touch_2,POOLED,above,7698,5230.547025104763,0.6772730269664403,0.6935162086010593,0.01624318163461902,0.0162431816346189,0.2084062369291225
W2,W1,p_touch_2,POOLED,below,4710,3206.81205644864,0.7675393246067539,0.7790941023677581,0.01155477776100422,0.029959432552752182,0.1631152127551827
W2,W1,p_touch_2,SPLIT,all,12408,8436.34951356094,0.7111014922912029,0.7358763640554109,0.024774871764208006,0.02477487176420789,0.1915331309684252
W2,W1,p_touch_2,SPLIT,above,7698,5230.547025104763,0.6772730269664403,0.6917277457449873,0.014454718778546982,0.016884690087008648,0.2084219478169331
W2,W1,p_touch_2,SPLIT,below,4710,3206.81205644864,0.7675393246067539,0.8095318578310344,0.04199253322428054,0.041992533224280454,0.16335661736801604
W2,W1,p_touch_3,POOLED,all,12408,8436.34951356094,0.5821254843762881,0.6026209233444081,0.020495438968120006,0.023100423557354408,0.22135490997737858
W2,W1,p_touch_3,POOLED,above,7698,5230.547025104763,0.5346080305927343,0.555934560151156,0.021326529558421736,0.028880306982927414,0.23318024389167544
W2,W1,p_touch_3,POOLED,below,4710,3206.81205644864,0.6614013859861402,0.6805102722116458,0.01910888622550566,0.030582816629475283,0.20162607492313384
W2,W1,p_touch_3,SPLIT,all,12408,8436.34951356094,0.5821254843762881,0.6187621349642972,0.036636650588009134,0.04072010618161134,0.22283914318530817
W2,W1,p_touch_3,SPLIT,above,7698,5230.547025104763,0.5346080305927343,0.5535002354837701,0.018892204891035824,0.02713958065889693,0.2331256142634793
W2,W1,p_touch_3,SPLIT,below,4710,3206.81205644864,0.6614013859861402,0.7276420414015603,0.06624065541542012,0.06624065541542004,0.20567767504730122
W2,W1,p_touch_5,POOLED,all,12408,8436.34951356094,0.3641314205622887,0.39105237941209814,0.02692095884980944,0.0337387989555336,0.20381336627893593
W2,W1,p_touch_5,POOLED,above,7698,5230.547025104763,0.30954704292213364,0.33302088736086716,0.023473844438733515,0.02466754706125527,0.19653737450641284
W2,W1,p_touch_5,POOLED,below,4710,3206.81205644864,0.4551974480255198,0.4878694116352882,0.03267196360976837,0.0547215397972887,0.21595229128321036
W2,W1,p_touch_5,SPLIT,all,12408,8436.34951356094,0.3641314205622887,0.4024658480699225,0.03833442750763383,0.038354773332317425,0.20445449159792126
W2,W1,p_touch_5,SPLIT,above,7698,5230.547025104763,0.30954704292213364,0.3312175688298244,0.021670525907690752,0.023106992693505225,0.19641143851323997
W2,W1,p_touch_5,SPLIT,below,4710,3206.81205644864,0.4551974480255198,0.5213331510326956,0.0661357030071758,0.069899508845437,0.21787314588626808
W2,W1,p_touch_10,POOLED,all,12408,8436.34951356094,0.20751092423118148,0.22478170707329603,0.017270782842114557,0.022827497900230802,0.14510638998554576
W2,W1,p_touch_10,POOLED,above,7698,5230.547025104763,0.15973495088020045,0.18246665843958815,0.022731707559387693,0.022731707559387707,0.12283525989674984
W2,W1,p_touch_10,POOLED,below,4710,3206.81205644864,0.2872181278187218,0.2953781587977981,0.008160030979076305,0.023869139007315493,0.18226250373065273
W2,W1,p_touch_10,SPLIT,all,12408,8436.34951356094,0.20751092423118148,0.24088440534455932,0.033373481113377845,0.0333734811133779,0.1459143094744061
W2,W1,p_touch_10,SPLIT,above,7698,5230.547025104763,0.15973495088020045,0.17995285031829902,0.02021789943809857,0.020823820957588852,0.12276575690763301
W2,W1,p_touch_10,SPLIT,below,4710,3206.81205644864,0.2872181278187218,0.3425397672501022,0.05532163943138041,0.05624347098578203,0.18453427392058888
W2,W1,p_adverse_3,POOLED,all,12408,8436.34951356094,0.34886635336796107,0.35159955842698937,0.0027332050590282986,0.023552299639224637,0.2111775454052391
W2,W1,p_adverse_3,POOLED,above,7698,5230.547025104763,0.3269994066064482,0.33097921331595886,0.003979806709510647,0.021063262743646977,0.2081576154966829
W2,W1,p_adverse_3,POOLED,below,4710,3206.81205644864,0.3853481465185348,0.386001579579668,0.0006534330611332462,0.03144162608216812,0.2162158554836763
W2,W1,p_adverse_3,SPLIT,all,12408,8436.34951356094,0.34886635336796107,0.34417602953520016,-0.004690323832760912,0.02259010801160329,0.21137758423812414
W2,W1,p_adverse_3,SPLIT,above,7698,5230.547025104763,0.3269994066064482,0.33184617151279294,0.004846764906344725,0.019144861419509926,0.20808466173197296
W2,W1,p_adverse_3,SPLIT,below,4710,3206.81205644864,0.3853481465185348,0.3647465890584486,-0.020601557460086184,0.021219561336382104,0.21687134242212974
W2,W1,p_adverse_5,POOLED,all,12408,8436.34951356094,0.19240250638964465,0.20445644571571997,0.01205393932607532,0.022714286578870195,0.14526620244334654
W2,W1,p_adverse_5,POOLED,above,7698,5230.547025104763,0.16952594448473662,0.1806740918700107,0.011148147385274088,0.02152982069088314,0.13255034930450638
W2,W1,p_adverse_5,POOLED,below,4710,3206.81205644864,0.2305686943130569,0.2441338146275969,0.013565120314539991,0.018795953015802454,0.16648073819923578
W2,W1,p_adverse_5,SPLIT,all,12408,8436.34951356094,0.19240250638964465,0.1970642975000914,0.004661791110446761,0.015123839800020902,0.14501462246689237
W2,W1,p_adverse_5,SPLIT,above,7698,5230.547025104763,0.16952594448473662,0.1821138948576442,0.01258795037290758,0.02194035268291664,0.132639513302854
W2,W1,p_adverse_5,SPLIT,below,4710,3206.81205644864,0.2305686943130569,0.22200685133113285,-0.008561842981924056,0.016890911221400705,0.16566067688235495
