arm,family,head,tau,improve,cov,cov_err,cov_ok,n_train,year,regime,n
A_train2010,terminal,terminal_h5_q05,0.05,4.266395285817307,0.08361777557919038,0.03361777557919038,True,88656.0,,,
A_train2010,terminal,terminal_h5_q25,0.25,2.7323660916716777,0.32074367219061756,0.07074367219061756,False,88656.0,,,
A_train2010,terminal,terminal_h5_q50,0.5,1.4079448548633042,0.5659370104707725,0.0659370104707725,False,88656.0,,,
A_train2010,terminal,terminal_h5_q75,0.75,4.651758997550186,0.7759666914007751,0.02596669140077512,True,88656.0,,,
A_train2010,terminal,terminal_h5_q95,0.95,12.911355572935513,0.9431197955313712,-0.006880204468628803,True,88656.0,,,
A_train2010,terminal,terminal_h5_q05,0.05,,0.11063533641996191,0.06063533641996191,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h5_q05,0.05,,0.16685281212604708,0.11685281212604708,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h5_q05,0.05,,0.09265566994527151,0.04265566994527151,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h5_q05,0.05,,0.06352651969839639,0.013526519698396383,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h5_q05,0.05,,0.06621642969984202,0.016216429699842022,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h5_q05,0.05,,0.03633314700950251,-0.01366685299049749,,,2023.0,below,641.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.37798312342325796,0.12798312342325796,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.5396489828480255,0.28964898284802554,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.32627859211348814,0.07627859211348814,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.278178302653048,0.028178302653047993,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.28593206951026856,0.03593206951026856,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h5_q25,0.25,,0.19979238201708857,-0.05020761798291143,,,2023.0,below,641.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.6273040973544565,0.12730409735445647,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.7481850817710411,0.24818508177104115,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.5886435250743106,0.08864352507431061,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.5203021786476715,0.020302178647671476,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.5290521327014219,0.02905213270142193,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h5_q50,0.5,,0.4318454044558013,-0.06815459554419873,,,2023.0,below,641.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.8131687561015687,0.06316875610156869,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.8662145991224574,0.11621459912245735,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.7962034521030271,0.04620345210302712,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.7483018623807709,-0.001698137619229101,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.7530410742496051,0.0030410742496050913,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h5_q75,0.75,,0.7003912800447177,-0.049608719955282266,,,2023.0,below,641.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.9557304000695941,0.005730400069594133,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.9628639808536099,0.012863980853609958,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.9534489137229385,0.0034489137229385403,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.933742084342632,-0.016257915657368005,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.9390442338072669,-0.010955766192733085,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h5_q95,0.95,,0.8801405414038169,-0.06985945859618303,,,2023.0,below,641.0
A_train2010,terminal,terminal_h10_q05,0.05,3.1258078871955712,0.08936021106439113,0.039360211064391123,True,88656.0,,,
A_train2010,terminal,terminal_h10_q25,0.25,2.3571381674829097,0.32591310083271496,0.07591310083271496,False,88656.0,,,
A_train2010,terminal,terminal_h10_q50,0.5,1.0027011180819263,0.5683114848709705,0.0683114848709705,False,88656.0,,,
A_train2010,terminal,terminal_h10_q75,0.75,4.892362916744119,0.7647662626762307,0.014766262676230713,True,88656.0,,,
A_train2010,terminal,terminal_h10_q95,0.95,12.457671419143912,0.9448223266551242,-0.005177673344875733,True,88656.0,,,
A_train2010,terminal,terminal_h10_q05,0.05,,0.12357791159612205,0.07357791159612205,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h10_q05,0.05,,0.19297965696051056,0.14297965696051057,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h10_q05,0.05,,0.10138160664395879,0.051381606643958785,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h10_q05,0.05,,0.06391466543993445,0.013914665439934443,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h10_q05,0.05,,0.06701421800947867,0.017014218009478665,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h10_q05,0.05,,0.03258005270302643,-0.017419947296973576,,,2023.0,below,641.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.3767168968750302,0.12671689687503018,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.5508974870362984,0.30089748703629837,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.32100986132904685,0.07100986132904685,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.288133522135089,0.038133522135089026,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.3007424960505529,0.05074249605055292,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h10_q25,0.25,,0.1606643775453166,-0.0893356224546834,,,2023.0,below,641.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.6226934861826652,0.12269348618266518,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.7756282409254089,0.27562824092540894,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.5737813668082716,0.07378136680827163,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.5278710206076638,0.027871020607663777,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.5419431279620853,0.041943127962085325,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h10_q50,0.5,,0.38561047672283,-0.11438952327717,,,2023.0,below,641.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.7963791720231594,0.04637917202315944,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.8750698045472677,0.12506980454726768,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.7712120632247693,0.021212063224769317,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.7412577359602653,-0.00874226403973466,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.7547077409162718,0.0047077409162717965,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h10_q75,0.75,,0.6052862732572067,-0.14471372674279326,,,2023.0,below,641.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.9614622500169153,0.011462250016915365,,,2022.0,all,5411.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.9729158356601516,0.02291583566015165,,,2022.0,above,1342.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.9577991248548864,0.00779912485488643,,,2022.0,below,4069.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.9324482652041719,-0.017551734795828056,,,2023.0,all,6997.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.935394944707741,-0.014605055292258973,,,2023.0,above,6356.0
A_train2010,terminal,terminal_h10_q95,0.95,,0.9026591072426735,-0.04734089275732645,,,2023.0,below,641.0
A_train2010,peak,peak_h5_q05,0.05,3.2242895599868886,0.05326077994888284,0.0032607799488828387,True,88656.0,,,
A_train2010,peak,peak_h5_q25,0.25,9.062844699506458,0.24698243878308188,-0.0030175612169181243,True,88656.0,,,
A_train2010,peak,peak_h5_q50,0.5,15.070722538490063,0.4904650012367055,-0.0095349987632945,True,88656.0,,,
A_train2010,peak,peak_h5_q75,0.75,20.277195648145117,0.732245032566576,-0.017754967433423974,True,88656.0,,,
A_train2010,peak,peak_h5_q95,0.95,22.591727861185717,0.9300395745733367,-0.01996042542666321,True,88656.0,,,
A_train2010,peak,peak_h5_q05,0.05,,0.06117517422697353,0.011175174226973526,,,2022.0,all,5411.0
A_train2010,peak,peak_h5_q05,0.05,,0.08579976067012367,0.035799760670123665,,,2022.0,above,1342.0
A_train2010,peak,peak_h5_q05,0.05,,0.05329965427940856,0.003299654279408558,,,2022.0,below,4069.0
A_train2010,peak,peak_h5_q05,0.05,,0.04737534411995141,-0.002624655880048593,,,2023.0,all,6997.0
A_train2010,peak,peak_h5_q05,0.05,,0.04691943127962085,-0.003080568720379151,,,2023.0,above,6356.0
A_train2010,peak,peak_h5_q05,0.05,,0.05198434879821129,0.0019843487982112856,,,2023.0,below,641.0
A_train2010,peak,peak_h5_q25,0.25,,0.2668741602791498,0.016874160279149786,,,2022.0,all,5411.0
A_train2010,peak,peak_h5_q25,0.25,,0.30889509373753493,0.05889509373753493,,,2022.0,above,1342.0
A_train2010,peak,peak_h5_q25,0.25,,0.2534348807838034,0.0034348807838033846,,,2022.0,below,4069.0
A_train2010,peak,peak_h5_q25,0.25,,0.23219022016489005,-0.01780977983510995,,,2023.0,all,6997.0
A_train2010,peak,peak_h5_q25,0.25,,0.2324644549763033,-0.017535545023696697,,,2023.0,above,6356.0
A_train2010,peak,peak_h5_q25,0.25,,0.22941787111714446,-0.020582128882855544,,,2023.0,below,641.0
A_train2010,peak,peak_h5_q50,0.5,,0.516436780498178,0.016436780498177983,,,2022.0,all,5411.0
A_train2010,peak,peak_h5_q50,0.5,,0.5378540087754289,0.03785400877542888,,,2022.0,above,1342.0
A_train2010,peak,peak_h5_q50,0.5,,0.5095870488728997,0.00958704887289974,,,2022.0,below,4069.0
A_train2010,peak,peak_h5_q50,0.5,,0.47115142715438846,-0.028848572845611542,,,2023.0,all,6997.0
A_train2010,peak,peak_h5_q50,0.5,,0.4726066350710901,-0.027393364928909925,,,2023.0,above,6356.0
A_train2010,peak,peak_h5_q50,0.5,,0.45644015012377226,-0.04355984987622774,,,2023.0,below,641.0
A_train2010,peak,peak_h5_q75,0.75,,0.7500797432749837,7.974327498372347e-05,,,2022.0,all,5411.0
A_train2010,peak,peak_h5_q75,0.75,,0.735939369764659,-0.014060630235340987,,,2022.0,above,1342.0
A_train2010,peak,peak_h5_q75,0.75,,0.7546021661755137,0.004602166175513678,,,2022.0,below,4069.0
A_train2010,peak,peak_h5_q75,0.75,,0.7189824831264421,-0.031017516873557915,,,2023.0,all,6997.0
A_train2010,peak,peak_h5_q75,0.75,,0.7233333333333334,-0.026666666666666616,,,2023.0,above,6356.0
A_train2010,peak,peak_h5_q75,0.75,,0.6749980036732411,-0.07500199632675886,,,2023.0,below,641.0
A_train2010,peak,peak_h5_q95,0.95,,0.9331606367862977,-0.016839363213702274,,,2022.0,all,5411.0
A_train2010,peak,peak_h5_q95,0.95,,0.9274830474670921,-0.022516952532907863,,,2022.0,above,1342.0
A_train2010,peak,peak_h5_q95,0.95,,0.9349764629339047,-0.015023537066095272,,,2022.0,below,4069.0
A_train2010,peak,peak_h5_q95,0.95,,0.9277186374646895,-0.022281362535310434,,,2023.0,all,6997.0
A_train2010,peak,peak_h5_q95,0.95,,0.9303317535545024,-0.019668246445497584,,,2023.0,above,6356.0
A_train2010,peak,peak_h5_q95,0.95,,0.9013016050467141,-0.04869839495328587,,,2023.0,below,641.0
A_train2010,peak,peak_h10_q05,0.05,2.7215497237698822,0.055993898919943934,0.005993898919943931,True,88656.0,,,
A_train2010,peak,peak_h10_q25,0.25,8.392505412122711,0.25767994063814004,0.007679940638140037,True,88656.0,,,
A_train2010,peak,peak_h10_q50,0.5,14.146968267876275,0.48648693214609623,-0.01351306785390377,True,88656.0,,,
A_train2010,peak,peak_h10_q75,0.75,19.315185652781153,0.7236499299200265,-0.026350070079973476,True,88656.0,,,
A_train2010,peak,peak_h10_q95,0.95,21.725390940260223,0.9341207024486767,-0.015879297551323224,True,88656.0,,,
A_train2010,peak,peak_h10_q05,0.05,,0.06511884164435466,0.01511884164435466,,,2022.0,all,5411.0
A_train2010,peak,peak_h10_q05,0.05,,0.09513362584762665,0.045133625847626646,,,2022.0,above,1342.0
A_train2010,peak,peak_h10_q05,0.05,,0.05551941010626761,0.005519410106267608,,,2022.0,below,4069.0
