fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-20 06:30:41.687824,DAL,confluence_low,82.0950,long,82.5743,6.260439,20.547289,1.924686,2.327143,14.8900,0.002109,{},86.72,false,-1.9874154703857907
2026-08-20 06:30:41.687824,PCAR,confluence_low,126.5000,long,127.5230,8.346268,13.231867,4.226804,3.218543,14.8900,0.002109,{},126.44,false,0.018641975577148504
2026-08-20 06:30:41.687824,PSX,confluence_high,244.1100,short,244.0346,97.983554,97.568916,94.502086,7.734443,14.8900,0.002109,{},244.24,true,-0.016807933034091203
2026-08-20 06:30:41.687824,ROST,confluence_low,230.8400,long,232.2345,6.591745,11.401185,8.715221,5.007857,14.8900,0.002109,{},230.2,false,0.12779917637424848
