fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-31 12:47:38.916567,CASY,confluence_low,748.1650,long,776.7999,4.255662,12.676963,10.842382,26.075707,14.4300,-0.002487,{},757.0,,
2026-08-31 12:47:38.916567,CW,confluence_low,578.1500,long,579.6123,4.923752,5.003972,2.811944,23.127679,14.4300,-0.002487,{},592.42,,
2026-08-31 12:47:38.916567,DOV,confluence_low,194.1250,long,198.1506,19.357031,22.031055,8.193548,3.866429,14.4300,-0.002487,{},197.05,,
2026-08-31 12:47:38.916567,FER,confluence_low,58.4900,long,59.1814,2.669644,5.891367,2.469136,1.169286,14.4300,-0.002487,{},58.66,,
2026-08-31 12:47:38.916567,FERG,confluence_low,225.8600,long,227.2952,5.865682,5.647433,1.569815,6.660714,14.4300,-0.002487,{},227.04,,
2026-08-31 12:47:38.916567,FTAI,confluence_low,189.1950,long,191.7291,11.405977,13.413546,4.760760,10.590714,14.4300,-0.002487,{},192.0,,
2026-08-31 12:47:38.916567,GE,confluence_low,336.4000,long,336.4352,18.047637,19.680366,8.282379,8.994279,14.4300,-0.002487,{},338.83,,
2026-08-31 12:47:38.916567,GEV,confluence_low,895.2500,long,918.0567,12.409076,9.597350,17.916245,41.099714,14.4300,-0.002487,{},884.9,,
2026-08-31 12:47:38.916567,IESC,confluence_low,302.3435,long,306.9588,17.662860,15.561359,2.649923,21.586071,14.4300,-0.002487,{},309.8,,
2026-08-31 12:47:38.916567,JCI,confluence_low,138.2000,long,139.4455,12.385702,11.144095,8.790524,3.732857,14.4300,-0.002487,{},138.89,,
2026-08-31 12:47:38.916567,KB,confluence_high,124.7400,short,124.5206,83.578643,71.310151,93.322476,2.600000,14.4300,-0.002487,{},125.03,,
2026-08-31 12:47:38.916567,LYG,confluence_low,5.8600,long,5.8671,15.476190,27.121564,5.714286,0.087500,14.4300,-0.002487,{},5.91,,
2026-08-31 12:47:38.916567,MTB,confluence_low,234.3000,long,235.4212,8.896008,13.176249,0.053562,3.957143,14.4300,-0.002487,{},236.9,,
2026-08-31 12:47:38.916567,NWG,confluence_low,18.2350,long,18.2475,20.000000,32.626263,6.363636,0.247143,14.4300,-0.002487,{},18.3,,
2026-08-31 12:47:38.916567,PCAR,confluence_low,124.0900,long,125.5999,17.827006,26.531201,9.021739,2.724286,14.4300,-0.002487,{},124.94,,
2026-08-31 12:47:38.916567,PKG,confluence_low,234.3300,long,242.6718,9.250929,9.694730,2.025506,5.091071,14.4300,-0.002487,{},239.87,,
2026-08-31 12:47:38.916567,PPL,confluence_low,34.1050,long,34.1964,12.936950,20.655117,6.523856,0.596964,14.4300,-0.002487,{},33.96,,
2026-08-31 12:47:38.916567,RL,confluence_low,346.7950,long,350.4670,6.239304,5.865257,7.131481,10.010000,14.4300,-0.002487,{},356.05,,
2026-08-31 12:47:38.916567,SHG,confluence_high,78.9000,short,78.8544,92.254852,88.018263,89.731622,1.575000,14.4300,-0.002487,{},79.29,,
2026-08-31 12:47:38.916567,SPG,confluence_low,212.4050,long,214.0960,4.963407,11.394988,4.008439,3.105357,14.4300,-0.002487,{},213.47,,
2026-08-31 12:47:38.916567,UBS,confluence_high,55.7000,short,54.7467,86.279885,85.363809,91.011236,0.598929,14.4300,-0.002487,{},54.94,,
2026-08-31 12:56:48.285684,DAL,confluence_low,77.9550,long,78.2812,8.669872,14.485576,1.461039,2.310357,14.4300,-0.002487,{},79.24,,
2026-08-31 12:56:48.285684,TFC,confluence_low,49.6500,long,49.6509,14.631568,13.356810,15.531335,0.854286,14.4300,-0.002487,{},50.28,,
2026-08-31 12:56:48.285684,TSN,confluence_low,55.1800,long,55.2036,11.579762,23.099757,8.247423,1.287500,14.4300,-0.002487,{},55.22,,
