fired_at,ticker,signal_type,entry_price,side,bb_lower,bb_upper,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-06 11:17:45.928768+00,ANET,confluence_high,193.2900,short,88.053180,67.636931,89.762730,9.920286,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,APH,confluence_high,172.0000,short,85.822312,81.085131,95.275354,7.930714,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,AVGO,confluence_high,424.3399,short,83.465924,72.832215,93.916291,17.422143,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,CTVA,confluence_low,76.6900,long,8.047619,30.996272,23.086270,2.637286,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,D,confluence_low,67.8800,long,12.961320,13.070158,25.787402,1.379286,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,DAL,confluence_high,92.6050,short,87.459861,83.035986,90.252976,2.762857,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,DTE,confluence_low,139.5700,long,14.252876,10.969045,19.303797,3.215714,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,EMR,confluence_high,158.7200,short,94.893798,87.562904,97.531816,4.854286,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,ETN,confluence_high,452.9100,short,94.640560,74.267232,92.337206,20.831429,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,ETR,confluence_low,106.5600,long,12.282715,6.622374,22.233105,2.792857,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,FCX,confluence_high,68.9750,short,82.228069,74.269260,95.358650,2.975714,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,GE,confluence_high,375.9650,short,90.360674,76.973934,96.290170,11.505714,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,HPE,confluence_high,52.9900,short,83.693121,66.902607,89.866535,2.887786,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,JCI,confluence_high,154.2000,short,89.734368,77.735181,96.128319,5.051429,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,NTAP,confluence_high,188.0725,short,91.986443,88.616099,86.713996,6.750714,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,NUE,confluence_high,273.2200,short,81.832118,74.245036,99.144529,9.026429,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,PH,confluence_high,1064.0600,short,80.119214,63.712736,81.644949,26.249286,16.5000,0.017896,{}
2026-08-06 11:17:45.928768+00,UAL,confluence_high,131.0250,short,86.348128,79.672540,94.339623,4.972857,16.5000,0.017896,{}
2026-08-06 12:43:45.400407+00,DUK,confluence_low,122.9150,long,15.615041,21.720741,22.764977,2.547143,16.5000,0.017896,{}
2026-08-06 14:24:02.553177+00,CAH,confluence_high,238.1550,short,85.209166,69.622413,85.640026,5.020000,16.5000,0.017896,{}
