fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-27 08:47:34.913197,DGX,confluence_high,246.6300,short,246.0375,88.775510,86.744257,92.711370,4.510000,15.7100,,{},242.83,,
2026-08-27 08:47:34.913197,DKS,confluence_low,132.1000,long,144.6271,6.378595,9.081563,9.683222,11.284214,15.7100,,{},128.73,,
2026-08-27 08:47:34.913197,FER,confluence_low,58.9600,long,61.2746,8.417797,8.930718,3.667137,1.227143,15.7100,,{},59.14,,
2026-08-27 08:47:34.913197,IESC,confluence_low,331.1650,long,363.9230,2.025675,5.174439,4.782190,63.134286,15.7100,,{},335.83,,
2026-08-27 08:47:34.913197,PKG,confluence_low,244.6650,long,245.0982,8.927629,18.928591,7.958478,5.088214,15.7100,,{},244.04,,
2026-08-27 08:47:34.913197,RL,confluence_low,356.0950,long,359.4282,7.235660,10.041453,9.656269,10.557143,15.7100,,{},358.28,,
2026-08-27 08:47:34.913197,SHG,confluence_high,77.9800,short,77.7621,80.410769,63.320868,94.357308,1.800086,15.7100,,{},77.95,,
2026-08-27 08:47:34.913197,TJX,confluence_low,135.0400,long,137.7776,4.396864,6.074040,1.328761,3.404286,15.7100,,{},135.85,,
2026-08-27 08:47:34.913197,UBS,confluence_high,54.4550,short,54.4283,82.764380,66.966479,88.203753,0.641714,15.7100,,{},54.46,,
2026-08-27 08:55:12.966983,SCCO,confluence_high,219.2400,short,219.1186,86.702997,89.241364,80.844687,8.964864,15.7100,,{},214.82,,
2026-08-27 09:30:33.128357,URI,confluence_low,1046.5600,long,1047.2305,3.619240,7.149494,6.487105,31.030343,15.7100,,{},1053.33,,
2026-08-27 09:55:49.21729,FCX,confluence_high,79.5500,short,79.4698,94.385004,94.703007,91.547376,2.821429,15.7100,,{},78.83,,
2026-08-27 10:56:23.349671,SPG,confluence_low,214.9100,long,214.9645,19.514182,20.551731,3.392330,3.328571,15.7100,,{},215.45,,
2026-08-27 12:57:33.566999,BAC,confluence_low,61.1400,long,61.1751,21.832884,16.346501,19.137466,1.026071,15.7100,,{},61.75,,
