fired_at,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-10 12:42:30.336206+00,A,confluence_high,148.0300,short,145.0586,95.127406,90.237009,99.102079,4.265714,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,AEP,confluence_low,122.8600,long,124.4066,12.146289,15.148506,12.368634,2.902857,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,AMGN,confluence_high,414.5737,short,411.1687,83.258136,79.368726,87.413414,12.627143,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,BAC,confluence_high,63.6800,short,63.6718,81.824176,83.106851,79.487179,1.012143,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,CRWD,confluence_high,225.9500,short,219.3337,80.550026,81.259491,89.095333,8.953143,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,D,confluence_low,67.1300,long,67.3525,13.412824,14.348828,23.440135,1.461429,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,DTE,confluence_low,138.0300,long,138.1313,10.571496,12.334395,11.129163,3.112143,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,EW,confluence_high,92.3600,short,91.9573,82.927654,85.969283,86.815416,2.406429,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,FCX,confluence_high,70.8200,short,69.6666,88.375053,89.060996,92.400970,2.947857,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,MNST,confluence_low,91.3300,long,91.3694,19.888950,21.364324,8.784474,2.420000,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,NTAP,confluence_high,200.3150,short,193.2601,81.760390,83.821505,80.890538,7.275714,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,PH,confluence_high,1061.6200,short,1049.9798,82.392658,83.576870,83.460274,30.227850,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,PLD,confluence_low,137.7900,long,138.1164,12.101328,10.535599,16.227698,3.310000,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,ROK,confluence_low,437.4250,long,440.3100,19.848188,28.534525,14.054439,16.778571,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,TGT,confluence_high,152.4550,short,151.7838,89.098174,88.521055,97.888128,3.870000,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,TPL,confluence_low,348.5050,long,357.3043,5.639629,16.409820,0.072374,18.541429,14.9000,0.006184,{}
2026-08-10 12:42:30.336206+00,WAT,confluence_high,408.8100,short,403.7208,96.395954,90.838418,98.372427,14.699286,14.9000,0.006184,{}
2026-08-10 11:34:19.126667,MO,confluence_low,66.0800,long,66.1385,13.196481,13.142174,14.858260,2.149286,14.9000,0.006184,{}
2026-08-10 12:04:22.755974,AVGO,confluence_high,424.7700,short,424.5504,89.876351,89.028243,94.977988,16.205000,14.9000,0.006184,{}
