fired_at,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-07 09:38:00.967549+00,AEP,confluence_low,124.9400,long,126.1032,18.544427,15.544432,16.321458,2.957857,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,APH,confluence_high,170.8000,short,170.7647,91.256010,87.441493,92.607336,7.907143,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,AVGO,confluence_high,427.6300,short,415.0705,87.685925,82.538850,87.398844,16.545714,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,CTVA,confluence_low,75.8550,long,77.1627,16.363681,17.098887,25.273390,2.637286,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,D,confluence_low,66.3850,long,68.4327,15.438414,12.721237,9.230769,1.389286,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,DTE,confluence_low,139.1700,long,139.6039,13.135315,12.273458,8.643815,3.300714,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,ETN,confluence_high,450.2800,short,446.0826,95.052638,89.768034,93.478033,19.962857,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,FCX,confluence_high,69.9200,short,67.6577,89.446988,82.805318,91.964286,2.964286,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,JBL,confluence_high,347.0100,short,342.4877,83.774527,74.013559,86.932192,16.382857,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,JCI,confluence_high,154.3200,short,151.4532,87.717215,86.091222,83.621518,5.145714,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,KEYS,confluence_high,340.4450,short,339.4560,83.804641,74.401480,84.399841,13.862143,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,KMI,confluence_low,31.0150,long,31.1571,17.216244,22.960135,17.054264,0.802143,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,NTAP,confluence_high,191.3700,short,187.5765,86.002583,89.294242,76.485788,6.771429,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,NVDA,confluence_high,221.6755,short,219.2102,82.949517,64.884366,90.686122,8.007857,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,PH,confluence_high,1081.0500,short,1004.1228,86.550401,77.949597,82.829889,25.731429,15.8100,-0.001676,{}
2026-08-07 09:38:00.967549+00,WAT,confluence_high,397.6050,short,395.0766,82.749953,75.212486,95.669635,14.775000,15.8100,-0.001676,{}
2026-08-07 09:43:45.212809+00,ADM,confluence_low,76.4000,long,76.5514,10.782557,10.417813,2.508961,2.551429,15.8100,-0.001676,{}
2026-08-07 09:43:45.212809+00,ANET,confluence_high,195.8150,short,194.7632,84.609211,81.746821,69.715762,11.073143,15.8100,-0.001676,{}
2026-08-07 09:43:45.212809+00,DD,confluence_high,144.7600,short,144.7374,93.043422,77.993208,97.226938,4.222143,15.8100,-0.001676,{}
2026-08-07 09:43:45.212809+00,MNST,confluence_low,92.3900,long,92.6453,19.868597,29.088184,25.663717,2.372143,15.8100,-0.001676,{}
2026-08-07 09:43:45.212809+00,URI,confluence_high,1172.1600,short,1170.5346,80.869026,65.852828,91.450139,42.554321,15.8100,-0.001676,{}
2026-08-07 10:03:54.462032+00,A,confluence_high,143.0400,short,142.9377,86.318408,82.510524,92.479908,4.266429,15.8100,-0.001676,{}
2026-08-07 10:03:54.462032+00,CRWD,confluence_high,216.3035,short,215.4991,80.272971,63.422465,79.009069,9.175643,15.8100,-0.001676,{}
2026-08-07 10:13:56.352756+00,CAH,confluence_high,239.4900,short,238.5938,94.396621,83.132603,98.331595,5.015714,15.8100,-0.001676,{}
2026-08-07 11:29:05.70914+00,HPE,confluence_high,52.3900,short,52.3454,91.004662,82.231674,87.555163,2.887786,15.8100,-0.001676,{}
2026-08-07 15:09:35.560662+00,TRGP,confluence_low,257.2400,long,257.6742,14.045506,20.548566,9.242958,7.555714,15.8100,-0.001676,{}
