fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-21 06:30:38.035006,AFL,confluence_low,116.2337,long,116.3928,9.880706,13.273776,2.648475,2.220000,16.0100,-0.008669,{},116.17,false,0.028693693693692433
2026-08-21 06:30:38.035006,ARGX,confluence_high,1032.0800,short,1019.6095,96.412026,87.725134,99.445632,35.009429,16.0100,-0.008669,{},1033.765,true,-0.04812989095024009
2026-08-21 06:30:38.035006,DAL,confluence_low,82.1900,long,82.3193,1.632555,8.540953,2.651779,2.422857,16.0100,-0.008669,{},82.1,false,0.03714622860532149
2026-08-21 06:30:38.035006,FITB,confluence_low,54.8100,long,55.2440,17.217575,39.005398,0.481928,1.065000,16.0100,-0.008669,{},54.93,false,-0.11267605633802577
2026-08-21 06:30:38.035006,LUV,confluence_low,40.3100,long,40.8191,0.624380,1.119597,0.555836,1.433929,16.0100,-0.008669,{},40.86,false,-0.38356152919705033
2026-08-21 06:30:38.035006,MTB,confluence_low,240.7000,long,242.6715,19.834499,44.402270,0.561798,4.123571,16.0100,-0.008669,{},243.8,false,-0.7517755848025953
2026-08-21 06:30:38.035006,STLD,confluence_low,223.6100,long,231.4427,11.316232,23.644212,1.770871,10.180000,16.0100,-0.008669,{},223.83,false,-0.02161100196463643
2026-08-21 06:30:38.035006,TFC,confluence_low,50.4700,long,50.8665,18.232247,39.789537,0.151286,0.878214,16.0100,-0.008669,{},50.68,false,-0.23912167193873116
2026-08-21 06:30:38.035006,TRGP,confluence_high,303.2950,short,297.4390,86.967798,89.787621,91.503395,9.157857,16.0100,-0.008669,{},300.0,false,0.3598003332002253
2026-08-21 06:30:38.035006,UAL,confluence_low,113.0800,long,113.1296,1.402001,9.088376,3.092361,4.164643,16.0100,-0.008669,{},114.5,false,-0.3409656001726923
2026-08-21 06:38:02.714493,SNA,confluence_low,392.1981,long,392.3027,1.888883,5.761321,2.905199,7.147143,16.0100,-0.008669,{},391.95,false,0.03471317140289794
2026-08-21 06:38:02.714493,TXN,confluence_low,264.8650,long,266.1400,14.831190,35.709182,3.456592,9.703571,16.0100,-0.008669,{},269.78,false,-0.5065145604643861
2026-08-21 06:43:31.168095,FFIV,confluence_low,376.7450,long,378.4207,8.177840,19.570116,3.198381,12.821314,16.0100,-0.008669,{},379.58,false,-0.2211161820075524
2026-08-21 07:03:34.229397,TSLA,confluence_high,355.3500,short,353.8656,84.805450,81.632047,84.243748,10.997857,16.0100,-0.008669,{},349.755,false,0.5087354745565457
2026-08-21 07:08:35.065822,KEY,confluence_low,21.9450,long,22.0081,17.257929,42.175720,1.226994,0.427143,16.0100,-0.008669,{},21.99,false,-0.10535113533406412
2026-08-21 07:23:39.638638,INCY,confluence_high,129.3000,short,128.9710,81.822657,68.466411,81.610834,3.431429,16.0100,-0.008669,{},126.74,false,0.7460448693532684
2026-08-21 08:03:46.642496,L,confluence_low,110.5400,long,110.5605,6.343481,9.192923,0.918836,2.012857,16.0100,-0.008669,{},111.46,false,-0.4570617783578205
