fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-11 08:46:55.338899,A,confluence_high,149.3650,short,145.0586,95.127406,90.237009,99.102079,4.265714,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,AEP,confluence_low,123.2300,long,124.4066,12.146289,15.148506,12.368634,2.902857,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,AMGN,confluence_high,414.5100,short,411.1687,83.258136,79.368726,87.413414,12.627143,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,BAC,confluence_high,63.8700,short,63.6718,81.824176,83.106851,79.487179,1.012143,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,CRWD,confluence_high,221.9900,short,219.3337,80.550026,81.259491,89.095333,8.953143,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,DTE,confluence_low,137.0500,long,138.1313,10.571496,12.334395,11.129163,3.112143,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,EW,confluence_high,93.1700,short,91.9573,82.927654,85.969283,86.815416,2.406429,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,HPE,confluence_high,54.6550,short,53.6484,85.230950,87.412340,87.555163,3.039929,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,JBL,confluence_high,350.3750,short,346.9895,86.813539,86.534563,84.135418,16.694286,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,MNST,confluence_low,45.4100,long,53.0761,0.875424,6.787957,0.788412,5.449493,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,MO,confluence_low,65.0005,long,66.1385,13.196481,13.142174,14.858260,2.149286,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,NTAP,confluence_high,198.9600,short,193.2601,81.760390,83.821505,80.890538,7.275714,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,PH,confluence_high,1065.9600,short,1049.9798,82.392658,83.576870,83.460274,30.227850,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,TGT,confluence_high,153.4100,short,151.7838,89.098174,88.521055,97.888128,3.870000,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,TPL,confluence_low,354.0300,long,357.3043,5.639629,16.409820,0.072374,18.541429,14.9000,0.006184,{}
2026-08-11 08:46:55.338899,WAT,confluence_high,411.8000,short,403.7208,96.395954,90.838418,98.372427,14.699286,14.9000,0.006184,{}
2026-08-11 12:13:09.529383,EMR,confluence_high,163.5150,short,163.4109,80.693403,88.162024,77.056578,5.232143,14.9000,0.006184,{}
2026-08-11 12:38:12.650193,JCI,confluence_high,154.4750,short,154.3756,82.756964,86.568518,76.705091,4.935714,14.9000,0.006184,{}
2026-08-11 12:58:14.943457,KEYS,confluence_high,344.3500,short,344.2702,87.292758,86.403693,92.310687,13.652500,14.9000,0.006184,{}
