fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-19 06:30:39.880694,OKE,confluence_high,97.4600,short,96.6039,97.464063,94.030327,94.244105,2.470000,15.8400,-0.006882,{},96.54,false,0.3724696356275253
2026-08-19 06:30:39.880694,PSX,confluence_high,243.1100,short,239.8634,97.470167,96.932476,99.768946,7.822857,15.8400,-0.006882,{},240.0,false,0.3975529656236863
2026-08-19 06:30:39.880694,ROST,confluence_low,232.5700,long,232.9265,10.909641,21.714708,9.162996,4.796786,15.8400,-0.006882,{},233.59,false,-0.21264238179481224
2026-08-19 06:30:39.880694,WBD,confluence_high,28.4750,short,28.4258,94.085254,92.416071,97.777778,0.546786,15.8400,-0.006882,{},28.54,true,-0.11887648915663117
2026-08-19 06:36:17.683052,A,confluence_high,153.7800,short,152.5177,87.782388,88.927309,87.551867,3.029286,15.8400,-0.006882,{},149.19,false,1.515208534288279
2026-08-19 06:41:20.607972,AMGN,confluence_high,436.0900,short,434.6115,92.093788,90.481573,95.897336,11.511429,15.8400,-0.006882,{},430.56,false,0.48039213897770405
2026-08-19 06:41:20.607972,FANG,confluence_high,212.4500,short,211.5186,95.402468,86.725601,98.477157,5.912143,15.8400,-0.006882,{},210.84,false,0.27232088263088106
