fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent
2026-08-18 10:13:05.678853,MPC,confluence_high,364.7000,short,358.5593,94.991325,97.263313,92.926386,12.708386,15.1900,-0.005227,{}
2026-08-18 10:13:05.678853,OKE,confluence_high,97.5650,short,95.6202,96.702001,87.019709,98.748957,2.464286,15.1900,-0.005227,{}
2026-08-18 10:13:05.678853,PSX,confluence_high,240.8550,short,234.4802,97.277187,96.860105,99.752107,7.789286,15.1900,-0.005227,{}
2026-08-18 10:13:05.678853,WBD,confluence_high,28.1150,short,28.0894,90.939069,91.623217,91.007194,0.522336,15.1900,-0.005227,{}
