head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.034791236704238754,True,fixed,"[776, 909, 591]",91546,19141
terminal_h5,0.25,0.08364026035878702,False,fixed,"[776, 909, 591]",91546,19141
terminal_h5,0.5,0.06247817113827592,False,fixed,"[776, 909, 591]",91546,19141
terminal_h5,0.75,0.022694078425146813,True,fixed,"[776, 909, 591]",91546,19141
terminal_h5,0.95,-0.010652484521352479,True,fixed,"[776, 909, 591]",91546,19141
terminal_h10,0.05,0.04903423823887389,True,fixed,"[776, 909, 591]",91546,19141
terminal_h10,0.25,0.08860401121871198,False,fixed,"[776, 909, 591]",91546,19141
terminal_h10,0.5,0.06686246494152503,False,fixed,"[776, 909, 591]",91546,19141
terminal_h10,0.75,0.013115838492882448,True,fixed,"[776, 909, 591]",91546,19141
terminal_h10,0.95,-0.008117690638725583,True,fixed,"[776, 909, 591]",91546,19141
peak_h5,0.05,0.017968460602211994,True,fixed,"[776, 909, 591]",91546,19141
peak_h5,0.25,0.020619675080700617,True,fixed,"[776, 909, 591]",91546,19141
peak_h5,0.5,-0.01138275916812187,True,fixed,"[776, 909, 591]",91546,19141
peak_h5,0.75,-0.03312165952267565,True,fixed,"[776, 909, 591]",91546,19141
peak_h5,0.95,-0.01935492406202044,True,fixed,"[776, 909, 591]",91546,19141
peak_h10,0.05,0.01747367306979944,True,fixed,"[776, 909, 591]",91546,19141
peak_h10,0.25,0.01283272477112768,True,fixed,"[776, 909, 591]",91546,19141
peak_h10,0.5,-0.020717574218129864,True,fixed,"[776, 909, 591]",91546,19141
peak_h10,0.75,-0.04879875112451715,True,fixed,"[776, 909, 591]",91546,19141
peak_h10,0.95,-0.022995713605334145,True,fixed,"[776, 909, 591]",91546,19141
trough_h5,0.05,0.02119119436947664,True,fixed,"[776, 909, 591]",91546,19141
trough_h5,0.25,0.03376197279991533,True,fixed,"[776, 909, 591]",91546,19141
trough_h5,0.5,0.03142826903741336,True,fixed,"[776, 909, 591]",91546,19141
trough_h5,0.75,0.021215007673175634,True,fixed,"[776, 909, 591]",91546,19141
trough_h5,0.95,0.001621950574165254,True,fixed,"[776, 909, 591]",91546,19141
trough_h10,0.05,0.0299571360533418,True,fixed,"[776, 909, 591]",91546,19141
trough_h10,0.25,0.04589088215060588,True,fixed,"[776, 909, 591]",91546,19141
trough_h10,0.5,0.0437344552045299,True,fixed,"[776, 909, 591]",91546,19141
trough_h10,0.75,0.021696565592422168,True,fixed,"[776, 909, 591]",91546,19141
trough_h10,0.95,0.0066386198867546264,True,fixed,"[776, 909, 591]",91546,19141
