head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.01638945752302967,True,roll7,"[244, 323, 244]",91379,11596
terminal_h5,0.25,0.04098430569771411,True,roll7,"[244, 323, 244]",91379,11596
terminal_h5,0.5,0.018641248720573156,True,roll7,"[244, 323, 244]",91379,11596
terminal_h5,0.75,-0.03248038212214266,True,roll7,"[244, 323, 244]",91379,11596
terminal_h5,0.95,-0.03184919822586152,True,roll7,"[244, 323, 244]",91379,11596
terminal_h10,0.05,0.00937819856704196,True,roll7,"[244, 323, 244]",91379,11596
terminal_h10,0.25,0.04427243261685432,True,roll7,"[244, 323, 244]",91379,11596
terminal_h10,0.5,0.025840156943022885,True,roll7,"[244, 323, 244]",91379,11596
terminal_h10,0.75,-0.02378880928010918,True,roll7,"[244, 323, 244]",91379,11596
terminal_h10,0.95,-0.0342843739338109,True,roll7,"[244, 323, 244]",91379,11596
peak_h5,0.05,0.0013945752302968253,True,roll7,"[244, 323, 244]",91379,11596
peak_h5,0.25,-0.02778915046059366,True,roll7,"[244, 323, 244]",91379,11596
peak_h5,0.5,-0.06379648584100994,False,roll7,"[244, 323, 244]",91379,11596
peak_h5,0.75,-0.06695667007847161,False,roll7,"[244, 323, 244]",91379,11596
peak_h5,0.95,-0.03647219379051514,True,roll7,"[244, 323, 244]",91379,11596
peak_h10,0.05,0.0020726714431934384,True,roll7,"[244, 323, 244]",91379,11596
peak_h10,0.25,-0.02574633230979187,True,roll7,"[244, 323, 244]",91379,11596
peak_h10,0.5,-0.05747611736608671,False,roll7,"[244, 323, 244]",91379,11596
peak_h10,0.75,-0.061450870010235414,False,roll7,"[244, 323, 244]",91379,11596
peak_h10,0.95,-0.02634766291368129,True,roll7,"[244, 323, 244]",91379,11596
trough_h5,0.05,0.021370692596383495,True,roll7,"[244, 323, 244]",91379,11596
trough_h5,0.25,0.04268167860798361,True,roll7,"[244, 323, 244]",91379,11596
trough_h5,0.5,0.0326850904128283,True,roll7,"[244, 323, 244]",91379,11596
trough_h5,0.75,0.01001791197543489,True,roll7,"[244, 323, 244]",91379,11596
trough_h5,0.95,-0.009314227226202676,True,roll7,"[244, 323, 244]",91379,11596
trough_h10,0.05,0.03011344251108837,True,roll7,"[244, 323, 244]",91379,11596
trough_h10,0.25,0.06018850221767308,False,roll7,"[244, 323, 244]",91379,11596
trough_h10,0.5,0.05293841692255197,False,roll7,"[244, 323, 244]",91379,11596
trough_h10,0.75,0.024722790856363086,True,roll7,"[244, 323, 244]",91379,11596
trough_h10,0.95,-0.001492664619583639,True,roll7,"[244, 323, 244]",91379,11596
