head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.03489001692047376,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h5,0.25,0.06119289340101519,False,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h5,0.5,0.021785109983079476,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h5,0.75,-0.04739847715736045,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h5,0.95,-0.0554187817258881,False,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h10,0.05,0.03158206429780032,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h10,0.25,0.05705583756345173,False,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h10,0.5,0.021835871404399354,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h10,0.75,-0.04560067681895086,True,fixed_v26,"[578, 702, 694]",91827,11690
terminal_h10,0.95,-0.06822758037225041,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h5,0.05,0.017136209813874786,True,fixed_v26,"[578, 702, 694]",91827,11690
peak_h5,0.25,-0.014137055837563473,True,fixed_v26,"[578, 702, 694]",91827,11690
peak_h5,0.5,-0.0716962774957699,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h5,0.75,-0.09944585448392551,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h5,0.95,-0.0641751269035532,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h10,0.05,0.013066835871404392,True,fixed_v26,"[578, 702, 694]",91827,11690
peak_h10,0.25,-0.02296531302876481,True,fixed_v26,"[578, 702, 694]",91827,11690
peak_h10,0.5,-0.07074027072758038,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h10,0.75,-0.09903130287648054,False,fixed_v26,"[578, 702, 694]",91827,11690
peak_h10,0.95,-0.05615905245346864,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h5,0.05,0.0557741116751269,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h5,0.25,0.09588832487309645,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h5,0.5,0.07433164128595604,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h5,0.75,0.023832487309644712,True,fixed_v26,"[578, 702, 694]",91827,11690
trough_h5,0.95,-0.014780033840947393,True,fixed_v26,"[578, 702, 694]",91827,11690
trough_h10,0.05,0.06942893401015227,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h10,0.25,0.11112944162436544,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h10,0.5,0.09214043993231824,False,fixed_v26,"[578, 702, 694]",91827,11690
trough_h10,0.75,0.039822335025380684,True,fixed_v26,"[578, 702, 694]",91827,11690
trough_h10,0.95,-0.0037351945854482427,True,fixed_v26,"[578, 702, 694]",91827,11690
