head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.01710659898477157,True,expand,"[1042, 863, 880]",144788,11690
terminal_h5,0.25,0.04433587140439932,True,expand,"[1042, 863, 880]",144788,11690
terminal_h5,0.5,0.014403553299492389,True,expand,"[1042, 863, 880]",144788,11690
terminal_h5,0.75,-0.038743654822334994,True,expand,"[1042, 863, 880]",144788,11690
terminal_h5,0.95,-0.03854483925549912,True,expand,"[1042, 863, 880]",144788,11690
terminal_h10,0.05,0.013134517766497461,True,expand,"[1042, 863, 880]",144788,11690
terminal_h10,0.25,0.03880287648054148,True,expand,"[1042, 863, 880]",144788,11690
terminal_h10,0.5,0.02507614213197973,True,expand,"[1042, 863, 880]",144788,11690
terminal_h10,0.75,-0.026611675126903656,True,expand,"[1042, 863, 880]",144788,11690
terminal_h10,0.95,-0.04561759729272419,True,expand,"[1042, 863, 880]",144788,11690
peak_h5,0.05,0.004995769881556679,True,expand,"[1042, 863, 880]",144788,11690
peak_h5,0.25,-0.031412859560067674,True,expand,"[1042, 863, 880]",144788,11690
peak_h5,0.5,-0.0766243654822335,False,expand,"[1042, 863, 880]",144788,11690
peak_h5,0.75,-0.0820642978003383,False,expand,"[1042, 863, 880]",144788,11690
peak_h5,0.95,-0.049390862944162395,True,expand,"[1042, 863, 880]",144788,11690
peak_h10,0.05,0.0028130287648054086,True,expand,"[1042, 863, 880]",144788,11690
peak_h10,0.25,-0.032368866328257195,True,expand,"[1042, 863, 880]",144788,11690
peak_h10,0.5,-0.06253807106598985,False,expand,"[1042, 863, 880]",144788,11690
peak_h10,0.75,-0.07146362098138748,False,expand,"[1042, 863, 880]",144788,11690
peak_h10,0.95,-0.03884517766497464,True,expand,"[1042, 863, 880]",144788,11690
trough_h5,0.05,0.025829103214890015,True,expand,"[1042, 863, 880]",144788,11690
trough_h5,0.25,0.039043993231810514,True,expand,"[1042, 863, 880]",144788,11690
trough_h5,0.5,0.02788917089678511,True,expand,"[1042, 863, 880]",144788,11690
trough_h5,0.75,0.0009094754653130588,True,expand,"[1042, 863, 880]",144788,11690
trough_h5,0.95,-0.01544839255499153,True,expand,"[1042, 863, 880]",144788,11690
trough_h10,0.05,0.035346869712351944,True,expand,"[1042, 863, 880]",144788,11690
trough_h10,0.25,0.050109983079526244,False,expand,"[1042, 863, 880]",144788,11690
trough_h10,0.5,0.04045262267343486,True,expand,"[1042, 863, 880]",144788,11690
trough_h10,0.75,0.018341793570220033,True,expand,"[1042, 863, 880]",144788,11690
trough_h10,0.95,-0.005765651438240149,True,expand,"[1042, 863, 880]",144788,11690
