head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.011971170249061747,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h5,0.25,0.03057403616513138,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h5,0.5,0.003667690208120189,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h5,0.75,-0.04457096554077111,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h5,0.95,-0.03578983282156245,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h10,0.05,0.006422722620266115,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h10,0.25,0.033990105765950185,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h10,0.5,0.017519617877857385,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h10,0.75,-0.02488485158648923,True,roll7_purge,"[243, 322, 322]",91180,11596
terminal_h10,0.95,-0.03879648584100981,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h5,0.05,-0.00010661890139884722,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h5,0.25,-0.03210508358921871,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h5,0.5,-0.07210423063800747,False,roll7_purge,"[243, 322, 322]",91180,11596
peak_h5,0.75,-0.07839474582053907,False,roll7_purge,"[243, 322, 322]",91180,11596
peak_h5,0.95,-0.041427840327533216,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h10,0.05,-0.0007719208461276078,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h10,0.25,-0.035214090754008914,True,roll7_purge,"[243, 322, 322]",91180,11596
peak_h10,0.5,-0.06577106789491638,False,roll7_purge,"[243, 322, 322]",91180,11596
peak_h10,0.75,-0.07229614466052536,False,roll7_purge,"[243, 322, 322]",91180,11596
peak_h10,0.95,-0.027853121801432956,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h5,0.05,0.024778232685090412,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h5,0.25,0.04683981576253837,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h5,0.5,0.03587939269873752,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h5,0.75,0.011169396110542462,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h5,0.95,-0.009680996247014684,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h10,0.05,0.031661548959399516,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h10,0.25,0.06279426816786077,False,roll7_purge,"[243, 322, 322]",91180,11596
trough_h10,0.5,0.05445667007847155,False,roll7_purge,"[243, 322, 322]",91180,11596
trough_h10,0.75,0.029742408734220294,True,roll7_purge,"[243, 322, 322]",91180,11596
trough_h10,0.95,-0.0002388263391333023,True,roll7_purge,"[243, 322, 322]",91180,11596
